seq,virtual_time_s,action,x,y,channel,result_type,direction_deg,clear_success,moved_distance_m,cumulative_distance_m
2,5.0,measure,0.0,0.0,1,no_signal,,,0.0,0.0
3,11.0,measure,0.0,0.0,2,no_signal,,,0.0,0.0
4,17.0,measure,0.0,0.0,3,no_signal,,,0.0,0.0
5,23.0,measure,0.0,0.0,4,direction,227.72,,0.0,0.0
6,29.0,measure,0.0,0.0,5,no_signal,,,0.0,0.0
7,35.0,measure,0.0,0.0,6,no_signal,,,0.0,0.0
8,41.0,measure,0.0,0.0,7,direction,157.94,,0.0,0.0
9,47.0,measure,0.0,0.0,8,direction,288.02,,0.0,0.0
10,53.0,measure,0.0,0.0,9,direction,157.15,,0.0,0.0
11,59.0,measure,0.0,0.0,10,no_signal,,,0.0,0.0
12,65.0,measure,0.0,0.0,11,no_signal,,,0.0,0.0
13,71.0,measure,0.0,0.0,12,direction,346.63,,0.0,0.0
14,77.0,measure,0.0,0.0,13,direction,98.7,,0.0,0.0
15,83.0,measure,0.0,0.0,14,no_signal,,,0.0,0.0
16,89.0,measure,0.0,0.0,15,no_signal,,,0.0,0.0
17,95.0,measure,0.0,0.0,16,no_signal,,,0.0,0.0
18,101.0,measure,0.0,0.0,17,direction,314.23,,0.0,0.0
19,107.0,measure,0.0,0.0,18,no_signal,,,0.0,0.0
20,113.0,measure,0.0,0.0,19,direction,133.88,,0.0,0.0
21,119.0,measure,0.0,0.0,20,no_signal,,,0.0,0.0
22,277.599522,measure,-762.1964175383589,34.95670169547847,7,direction,122.39,,762.997608057676,762.997608057676
23,325.744178,measure,-970.0,1.1879073951729327e-13,1,direction,88.78,,210.72327796738244,973.7208860250585
24,331.744178,measure,-970.0,1.1879073951729327e-13,2,no_signal,,,0.0,973.7208860250585
25,337.744178,measure,-970.0,1.1879073951729327e-13,3,no_signal,,,0.0,973.7208860250585
26,343.744178,measure,-970.0,1.1879073951729327e-13,4,direction,298.37,,0.0,973.7208860250585
27,349.744178,measure,-970.0,1.1879073951729327e-13,5,no_signal,,,0.0,973.7208860250585
28,355.744178,measure,-970.0,1.1879073951729327e-13,6,no_signal,,,0.0,973.7208860250585
29,361.744178,measure,-970.0,1.1879073951729327e-13,7,direction,93.71,,0.0,973.7208860250585
30,367.744178,measure,-970.0,1.1879073951729327e-13,8,no_signal,,,0.0,973.7208860250585
31,373.744178,measure,-970.0,1.1879073951729327e-13,9,direction,73.2,,0.0,973.7208860250585
32,379.744178,measure,-970.0,1.1879073951729327e-13,10,no_signal,,,0.0,973.7208860250585
33,385.744178,measure,-970.0,1.1879073951729327e-13,11,no_signal,,,0.0,973.7208860250585
34,391.744178,measure,-970.0,1.1879073951729327e-13,12,no_signal,,,0.0,973.7208860250585
35,397.744178,measure,-970.0,1.1879073951729327e-13,13,direction,47.23,,0.0,973.7208860250585
36,403.744178,measure,-970.0,1.1879073951729327e-13,14,direction,232.76,,0.0,973.7208860250585
37,409.744178,measure,-970.0,1.1879073951729327e-13,15,direction,100.92,,0.0,973.7208860250585
38,415.744178,measure,-970.0,1.1879073951729327e-13,16,no_signal,,,0.0,973.7208860250585
39,421.744178,measure,-970.0,1.1879073951729327e-13,17,no_signal,,,0.0,973.7208860250585
40,427.744178,measure,-970.0,1.1879073951729327e-13,18,no_signal,,,0.0,973.7208860250585
41,433.744178,measure,-970.0,1.1879073951729327e-13,19,direction,76.45,,0.0,973.7208860250585
42,439.744178,measure,-970.0,1.1879073951729327e-13,20,no_signal,,,0.0,973.7208860250585
43,520.536307,clear,-860.7569241502761,362.8734222036874,9,success,,1,378.96064460960065,1352.681530634659
44,617.093371,measure,-775.9447385373348,807.6446455835073,19,direction,280.03,,452.78532217290973,1805.4668528075688
45,625.666176,clear,-772.6834464306439,790.0808371793246,19,success,,1,17.8640250745459,1823.3308778821147
46,649.069461,measure,-695.44754219027,750.0000000000022,1,direction,113.17,,87.01642610923273,1910.3473039913474
47,700.849896,measure,-484.9999999999998,840.0446416709055,20,no_signal,,,228.90217453656263,2139.24947852791
48,706.849896,measure,-484.9999999999998,840.0446416709055,18,no_signal,,,0.0,2139.24947852791
49,712.849896,measure,-484.9999999999998,840.0446416709055,17,no_signal,,,0.0,2139.24947852791
50,718.849896,measure,-484.9999999999998,840.0446416709055,16,no_signal,,,0.0,2139.24947852791
51,724.849896,measure,-484.9999999999998,840.0446416709055,15,direction,162.78,,0.0,2139.24947852791
52,730.849896,measure,-484.9999999999998,840.0446416709055,14,no_signal,,,0.0,2139.24947852791
53,736.849896,measure,-484.9999999999998,840.0446416709055,13,direction,7.33,,0.0,2139.24947852791
54,742.849896,measure,-484.9999999999998,840.0446416709055,12,no_signal,,,0.0,2139.24947852791
55,748.849896,measure,-484.9999999999998,840.0446416709055,11,no_signal,,,0.0,2139.24947852791
56,754.849896,measure,-484.9999999999998,840.0446416709055,10,no_signal,,,0.0,2139.24947852791
57,760.849896,measure,-484.9999999999998,840.0446416709055,8,no_signal,,,0.0,2139.24947852791
58,766.849896,measure,-484.9999999999998,840.0446416709055,7,direction,220.53,,0.0,2139.24947852791
59,772.849896,measure,-484.9999999999998,840.0446416709055,6,no_signal,,,0.0,2139.24947852791
60,778.849896,measure,-484.9999999999998,840.0446416709055,5,direction,99.64,,0.0,2139.24947852791
61,784.849896,measure,-484.9999999999998,840.0446416709055,4,no_signal,,,0.0,2139.24947852791
62,790.849896,measure,-484.9999999999998,840.0446416709055,3,no_signal,,,0.0,2139.24947852791
63,796.849896,measure,-484.9999999999998,840.0446416709055,2,no_signal,,,0.0,2139.24947852791
64,802.849896,measure,-484.9999999999998,840.0446416709055,1,direction,134.46,,0.0,2139.24947852791
65,878.330408,clear,-135.56028199474235,885.645586746859,13,success,,1,352.4025577537909,2491.652036281701
66,1007.777105,measure,485.0000000000001,840.0446416709054,1,no_signal,,,622.233484940512,3113.885521222213
67,1013.777105,measure,485.0000000000001,840.0446416709054,2,no_signal,,,0.0,3113.885521222213
68,1019.777105,measure,485.0000000000001,840.0446416709054,3,no_signal,,,0.0,3113.885521222213
69,1025.777105,measure,485.0000000000001,840.0446416709054,4,no_signal,,,0.0,3113.885521222213
70,1031.777105,measure,485.0000000000001,840.0446416709054,5,direction,165.5,,0.0,3113.885521222213
71,1037.777105,measure,485.0000000000001,840.0446416709054,6,no_signal,,,0.0,3113.885521222213
72,1043.777105,measure,485.0000000000001,840.0446416709054,7,no_signal,,,0.0,3113.885521222213
73,1049.777105,measure,485.0000000000001,840.0446416709054,8,no_signal,,,0.0,3113.885521222213
74,1055.777105,measure,485.0000000000001,840.0446416709054,10,no_signal,,,0.0,3113.885521222213
75,1061.777105,measure,485.0000000000001,840.0446416709054,11,no_signal,,,0.0,3113.885521222213
76,1067.777105,measure,485.0000000000001,840.0446416709054,12,no_signal,,,0.0,3113.885521222213
77,1073.777105,measure,485.0000000000001,840.0446416709054,14,no_signal,,,0.0,3113.885521222213
78,1079.777105,measure,485.0000000000001,840.0446416709054,15,no_signal,,,0.0,3113.885521222213
79,1085.777105,measure,485.0000000000001,840.0446416709054,16,no_signal,,,0.0,3113.885521222213
80,1091.777105,measure,485.0000000000001,840.0446416709054,17,no_signal,,,0.0,3113.885521222213
81,1097.777105,measure,485.0000000000001,840.0446416709054,18,no_signal,,,0.0,3113.885521222213
