run_id,problem,mode,strategy,case_id,source_count,cleared_count,clear_rate,total_virtual_time_s,avg_time_per_source_s,avg_time_per_cleared_s,total_movement_distance_m,movement_time_s,measure_count,channel_switch_count,clear_attempt_count,clear_success_count,clear_fail_count,program_real_time_s,program_wall_time_s
20260913_165447_practice_001,4,practice,W6-25PFR,1,,16,,5139.044148,,321.19025925,18120.220745254726,3624.044149050945,245,210,16,16,0,10.666,10.706907510757446
20260913_165530_practice_002,4,practice,W6-25PFR,test,,13,,6739.923174,,518.4556287692308,22854.615901948804,4570.923180389761,353,339,13,13,0,7.409,7.455613374710083
20260913_165556_practice_003,4,practice,W6-25PFR,,,13,,7084.12413,,544.9326253846154,23995.620650987683,4799.124130197537,378,330,13,13,0,12.975,13.029824018478394
20260913_165627_practice_004,4,practice,W6-25PFR,,,13,,9619.870903,,739.9900694615385,34879.35451395873,6975.870902791746,449,334,13,13,0,7.035,7.086635112762451
20260913_165648_practice_005,4,practice,W6-25PFR,,,16,,6095.679803,,380.9799876875,22543.399015631087,4508.679803126217,256,227,16,16,0,11.723,11.773688554763794
20260913_165718_practice_006,4,practice,W6-25PFR,,,10,,8800.89874,,880.089874,30309.493691807358,6061.898738361471,460,389,10,10,0,7.968,8.012032747268677
20260913_165818_practice_007,4,practice,W6-25PFR,,,16,,8967.560224,,560.472514,32202.801144018653,6440.560228803731,429,302,16,16,0,8.596,8.657662868499756
20260913_165849_practice_008,4,practice,W6-25PFR,,,13,,8278.130738,,636.7792875384615,29250.653668446237,5850.130733689248,401,358,13,13,0,7.53,7.586249589920044
20260913_165908_practice_009,4,practice,W6-25PFR,,,16,,5297.770373,,331.1106483125,20343.85185996425,4068.7703719928495,194,179,16,16,0,11.51,11.570314645767212
20260913_165931_practice_010,4,practice,W6-25PFR,,,16,,7550.531773,,471.9082358125,26577.65886474985,5315.53177294997,363,340,16,16,0,12.801,12.845765113830566
20260913_165957_practice_011,4,practice,W6-25PFR,,,14,,7205.813763,,514.7009830714286,27154.068811299596,5430.813762259919,289,260,14,14,0,6.867,6.922793388366699
20260913_170015_practice_012,4,practice,W6-25PFR,,,10,,7440.320921,,744.0320921,25121.60459604989,5024.320919209978,398,376,10,10,0,5.678,5.731815576553345
20260913_170032_practice_013,4,practice,W6-25PFR,,,13,,7482.661482,,575.5893447692308,26123.3074239471,5224.66148478942,372,333,13,13,0,6.543,6.609682083129883
20260913_170052_practice_014,4,practice,W6-25PFR,,,11,,8207.566084,,746.1423712727272,28192.830305077416,5638.566061015483,436,334,11,11,0,8.776,8.829201698303223
20260913_170114_practice_015,4,practice,W6-25PFR,,,16,,6249.014645,,390.5634153125,22350.073230892056,4470.014646178412,290,249,16,16,0,8.063,8.114863395690918
20260913_170136_practice_016,4,practice,W6-25PFR,,,10,,7546.761835,,754.6761835,24388.809172759786,4877.761834551957,442,409,10,10,0,16.255,16.313968420028687
20260913_170204_practice_017,4,practice,W6-25PFR,,,14,,9601.623388,,685.830242,33138.116949663934,6627.623389932787,497,419,14,14,0,7.204,7.262009382247925
20260913_170222_practice_018,4,practice,W6-25PFR,,,10,,6394.415799,,639.4415799000001,20972.078994485102,4194.41579889702,361,345,10,10,0,6.206,6.279697895050049
20260913_170239_practice_019,4,practice,W6-25PFR,,,16,,7337.645064,,458.6028165,25573.225298742058,5114.645059748412,364,323,16,16,0,8.888,8.938242435455322
20260913_170259_practice_020,4,practice,W6-25PFR,,,12,,7466.711856,,622.225988,26398.55928083251,5279.711856166502,360,327,12,12,0,5.58,5.624021053314209
20260913_170856_practice_021,4,practice,W6-25PFR,7WW2-ZAXP-SX22-8QY6,,12,,6801.376728,,566.781394,21826.883635339138,4365.376727067827,398,386,12,12,0,7.179,7.258390426635742
20260913_170947_practice_022,4,practice,W6-25PFR,XWAC-7BTA-4XUZ-K7PX,,10,,6950.005842,,695.0005841999999,24015.029192935985,4803.005838587197,354,327,10,10,0,7.157,7.231637716293335
20260913_171032_practice_023,4,practice,W6-25PFR,JG75-UXMB-2TR9-S928,,13,,7083.810372,,544.9084901538462,24739.051846955215,4947.810369391043,349,326,13,13,0,10.906,10.949496746063232
