version,n,source_count,case_count,mean_total_time_s,mean_avg_source_time_s,median_avg_source_time_s,p95_avg_source_time_s
v4,6,10,23,3325.5520605652173,332.55520605652174,343.45654509999997,376.95505375999994
v4,6,11,38,3410.1205627894738,310.0109602535885,312.9516205909091,364.00359977727265
v4,6,12,34,3483.9154756176467,290.3262896348039,285.6124150833333,344.10899241666664
v4,6,13,33,3655.722716363636,281.2094397202797,286.1872733076923,330.1523953384616
v4,6,14,34,3624.8767220294117,258.9197658592437,266.61242328571427,304.00840936428574
v4,6,15,21,3703.5044430476187,246.9002962031746,256.44912066666666,292.7576915333333
v4,6,16,17,3864.956951,241.5598094375,252.4200415625,285.860030175
v4,7,10,23,3267.4108739565213,326.7410873956522,332.53909680000004,374.64702475
v4,7,11,38,3351.6047737105264,304.6913430645933,308.4497022727273,350.3600347954545
v4,7,12,34,3376.1956136176473,281.34963446813725,284.92970654166663,329.49232164583333
v4,7,13,33,3600.9136716363637,276.99335935664334,284.8221396923077,332.58850516923076
v4,7,14,34,3633.1447255,259.5103375357143,265.2604562142857,303.5732965535714
v4,7,15,21,3759.1650205714286,250.61100137142859,262.4876688,298.9238076666667
v4,7,16,17,3853.413801647059,240.83836260294117,257.3449473125,298.3713070625
v4,8,10,23,3385.4572137391306,338.54572137391307,333.1204093,394.57541516
v4,8,11,38,3457.388944710526,314.3080858827751,310.2131525,372.7511979045454
v4,8,12,34,3452.5999632941175,287.71666360784315,289.795145875,345.9763122416666
v4,8,13,33,3633.6714677575756,279.5131898275058,284.2898171538462,330.66236456923076
v4,8,14,34,3620.161705647059,258.58297897478997,267.7263298571429,295.41009155
v4,8,15,21,3719.653290523809,247.97688603492065,257.97843686666664,292.3545660666667
v4,8,16,17,4014.938652,250.93366575,261.9014855625,296.2084015875
v4,9,10,23,3466.351463695652,346.63514636956523,349.6306837,402.81874908000003
v4,9,11,38,3486.841492210526,316.9855902009569,324.56286359090905,371.5317492636363
v4,9,12,34,3555.749625764706,296.31246881372545,299.4103855833333,359.69413299999997
v4,9,13,33,3693.8071671212124,284.13901285547786,286.5024154615385,350.6801134307692
v4,9,14,34,3712.486349264706,265.1775963760504,270.06280464285715,316.21750143214285
v4,9,15,21,3782.197880904762,252.14652539365082,265.4737260666667,304.3738069333333
v4,9,16,17,3985.267630235294,249.07922688970586,268.6363753125,296.68842876249994
v4,10,10,23,3576.268981652174,357.6268981652174,363.378596,411.91912805000004
v4,10,11,38,3595.4889528421054,326.86263207655503,332.7149356818182,393.07025405454544
v4,10,12,34,3645.479268764706,303.78993906372546,314.689060625,359.0039084208333
v4,10,13,33,3792.904245151515,291.761865011655,295.07031015384615,359.20283359999996
v4,10,14,34,3739.829036264706,267.130645447479,276.292914,312.5866440107143
v4,10,15,21,3912.5349314761906,260.83566209841274,269.2030368,321.52607700000004
v4,10,16,17,3927.8834059999995,245.49271287499997,257.988762375,294.7974931125
v4,11,10,23,3605.589911304348,360.5589911304348,366.3672508,414.22744015
v4,11,11,38,3697.8325109473685,336.16659190430624,346.7706077272727,398.66729641363634
v4,11,12,34,3703.371357735294,308.6142798112745,325.8363425416667,367.939443075
v4,11,13,33,3907.036040969697,300.5412339207459,310.6085063076923,367.275356
v4,11,14,34,3836.5174757941177,274.0369625567227,281.24865967857147,324.5773607214286
v4,11,15,21,3990.967864571429,266.0645243047619,282.3619490666667,323.07606806666666
v4,11,16,17,4041.754789764706,252.60967436029412,262.1568305625,317.33648645
v4,12,10,23,3739.412080304348,373.9412080304348,385.0910112,437.93190761000005
v4,12,11,38,3835.9717420789475,348.72470382535886,352.0497925909091,434.9891087590909
v4,12,12,34,3760.532117470588,313.37767645588235,330.9032363333333,364.67714122916664
v4,12,13,33,3949.927746909091,303.8405959160839,309.1911141538462,374.5655451538462
v4,12,14,34,3911.917787617647,279.4226991155462,293.52033167857144,328.58141633214285
v4,12,15,21,4007.503588285714,267.1669058857143,277.51003753333333,322.76593313333336
v4,12,16,17,4112.205161764706,257.0128226102941,270.1219456875,315.719525
v6,6,10,23,3518.0791052173913,351.80791052173913,364.34788979999996,392.39766633
v6,6,11,38,3502.411352368421,318.4010320334928,324.46990418181815,370.94589881363635
v6,6,12,34,3560.5478458529415,296.7123204877451,295.54231195833336,364.2301076791666
v6,6,13,33,3733.099604757576,287.1615080582751,299.49074461538464,357.8246674923077
v6,6,14,34,3817.0190440588235,272.64421743277313,281.14147292857143,317.9357724535714
v6,6,15,21,3845.380810047619,256.3587206698413,261.0016238,307.3836364
v6,6,16,17,4047.037991941176,252.9398744963235,262.1402235625,304.740282225
v6,7,10,23,3403.3346778260866,340.3334677826087,348.2159292,390.16680243
v6,7,11,38,3512.4638826842106,319.3148984258373,324.86247895454545,391.37549711363636
v6,7,12,34,3507.6188263235294,292.3015688602941,299.96810016666666,345.14327451249994
v6,7,13,33,3732.124796242424,287.0865227878788,297.8773407692307,346.6245468769231
v6,7,14,34,3725.2511604411766,266.0893686029412,273.59594242857145,325.68331217142855
v6,7,15,21,3755.431945,250.36212966666668,255.62610026666667,299.240353
v6,7,16,17,3891.400611470588,243.21253821691175,246.6989395,297.0131022
v6,8,10,23,3271.8223088695654,327.1822308869565,319.250194,377.10815085
v6,8,11,38,3399.0172724999998,309.00157022727274,306.92684804545456,381.9739177
v6,8,12,34,3450.146858676471,287.5122382230392,298.0741259166667,337.4162578291666
v6,8,13,33,3560.579249545455,273.8907115034965,278.2014876153846,326.9285028923077
v6,8,14,34,3577.635671852941,255.54540513235293,264.58908735714283,294.84290849999996
v6,8,15,21,3587.475428285714,239.16502855238096,248.09479086666667,283.1361661333333
v6,8,16,17,3714.240817647059,232.1400511029412,240.7647545,278.67872723749997
v6,9,10,23,3413.747919478261,341.3747919478261,338.10418319999997,404.67052548000004
v6,9,11,38,3417.614266447368,310.6922060406699,313.7367252272727,369.6139890363636
v6,9,12,34,3479.2919385294117,289.940994877451,303.57412604166666,337.9529351291667
v6,9,13,33,3580.733423333333,275.44103256410256,284.4919703076923,335.5040909230769
v6,9,14,34,3560.699823970588,254.33570171218489,264.9660287857143,293.77097693214284
v6,9,15,21,3639.534345809524,242.63562305396823,248.6788516,293.2194324
v6,9,16,17,3728.607973117647,233.03799831985293,235.407501,311.1738365375
v6,10,10,23,3440.165753652174,344.0165753652174,347.7431881,404.92683860000005
v6,10,11,38,3453.1806573947365,313.92551430861243,316.73142154545457,372.5445009909091
v6,10,12,34,3456.2916893529414,288.0243074460784,291.7723288333333,334.064966375
v6,10,13,33,3615.8516525151517,278.1424348088578,284.0201622307692,340.60156061538464
v6,10,14,34,3510.4391521764705,250.74565372689074,256.66900789285717,301.93212229642853
v6,10,15,21,3629.331911380952,241.95546075873014,245.15457986666667,300.4731319333333
v6,10,16,17,3776.1126739411766,236.00704212132354,243.858415,286.479344025
v6,11,10,23,3465.320563565217,346.53205635652176,350.3942264,391.43101542000005
v6,11,11,38,3556.939691052631,323.3581537320574,326.5182636818182,392.7982395136363
v6,11,12,34,3543.4361401470587,295.2863450122549,311.899774875,345.33611529999996
v6,11,13,33,3678.827212151515,282.98670862703966,292.6399415384615,336.1877512
v6,11,14,34,3621.385963029412,258.67042593067225,269.09324814285714,303.73397934642855
v6,11,15,21,3688.656511190476,245.91043407936507,251.65472540000002,303.7240074
v6,11,16,17,3803.6337291764703,237.7271080735294,253.4585289375,287.40639799999997
v6,12,10,23,3578.474563565217,357.8474563565218,366.6350078,413.47883807000005
v6,12,11,38,3567.9802430263157,324.3618402751196,327.9909551818182,394.0771722636363
v6,12,12,34,3607.137185911765,300.59476549264707,305.6852842083333,357.9916419291667
v6,12,13,33,3715.1564597878787,285.78126613752914,290.879844,347.61374424615383
v6,12,14,34,3654.667864,261.04770457142854,271.4942116071428,316.4323766035714
v6,12,15,21,3802.839670047619,253.52264466984127,276.20718899999997,304.43612386666666
v6,12,16,17,3865.642821411765,241.6026763382353,247.959164,301.51831267499995
