version,n,suite,seed,success,cleared,total,total_time_s,avg_source_s,move_distance_m,move_time_s,measure_count,measure_time_s,switch_count,switch_time_s,clear_success,clear_fail,clear_time_s,time_component_delta_s,policy_runtime_s,found_source_count,supplement_measure_count,supplement_source_count,first_supplement_clearable_count,off_search_supplement_count,found_after_extra_move_m,off_search_supplement_move_m,threshold_chasing_20_30_count,waited_search_supplement_count,wait_saved_dedicated_proxy_count,error,route_scored_supplement_count,mean_selected_route_marginal_s,abandoned_high_p_clear_count,mean_rejected_high_p_clear_route_marginal_s,mean_selected_route_marginal_when_abandon_s
v6,8,random,0,1,16,16,3522.259647,220.1412279375,14206.298225017066,2841.2596450034134,101,505.0,96,96.0,16,0,80.0,1.996586433961056e-06,7.313657800001238,16,26,16,6,15,10138.267679459484,5027.296516605168,5,6,2,,21,17.527773212830603,8,50.81702369554293,14.0328028000926
v6,8,random,1,1,11,11,4424.818878,402.25626163636366,17494.09439313113,3498.8188786262263,146,730.0,141,141.0,11,0,55.0,-6.262262104428373e-07,6.363765100002638,11,25,11,0,18,11459.10066771236,8493.385401037254,3,2,0,,20,37.255610997063265,10,94.02062908735304,14.156568189357142
v6,8,random,2,1,16,16,3899.799079,243.7374424375,16198.995386160952,3239.7990772321905,98,490.0,90,90.0,16,0,80.0,1.7678094081929885e-06,8.593858100000944,16,26,16,6,19,11449.120702950535,7537.116091227221,5,2,1,,21,36.77574406140089,7,86.98427794300905,17.097200311986988
v6,8,random,3,1,11,11,3125.724502,284.15677290909093,11428.622495692962,2285.7244991385924,132,660.0,125,125.0,11,0,55.0,2.8614076654776e-06,3.909072999998898,11,17,11,5,7,6723.139538212231,3055.4033887609835,3,5,4,,12,9.657786324647768,3,65.86992222637002,1.2579578707785306
v6,8,random,4,1,11,11,3505.740285,318.7036622727273,13743.701418553092,2748.7402837106183,118,590.0,112,112.0,11,0,55.0,1.2893815437564626e-06,5.365217400001711,11,18,11,4,10,9608.609724402353,5475.669187309261,0,5,2,,15,23.819554974973997,5,18.875264730759227,0.16708838088779884
v6,8,random,5,1,14,14,3391.733736,242.26669542857144,13273.668670159896,2654.733734031979,112,560.0,107,107.0,14,0,70.0,1.968021024367772e-06,7.928540400000202,14,26,14,6,13,9630.344634189929,6184.121016126,3,5,0,,18,27.02104476829144,7,133.92488491959767,17.37884610292716
v6,8,random,6,1,16,16,3852.236072,240.7647545,15886.180356940573,3177.2360713881144,100,500.0,95,95.0,16,0,80.0,6.118857527326327e-07,7.967000299999199,16,28,16,4,19,12007.541638771987,7074.610203931437,5,3,0,,22,35.987520462236446,8,60.53986795402838,12.907402391336113
v6,8,random,7,1,12,12,4006.473419,333.87278491666666,16182.367099882811,3236.473419976562,119,595.0,115,115.0,12,0,60.0,-9.765622053237166e-07,5.895376299999043,12,21,12,6,15,12551.301363457174,6963.443883769014,3,3,0,,18,34.35162780405997,11,118.34869411728867,16.038198013664864
v6,8,random,8,1,11,11,3355.153418,305.0139470909091,12710.7670757885,2542.1534151577002,127,635.0,123,123.0,11,0,55.0,2.8422996365407016e-06,5.067179999998189,11,20,11,2,11,7375.839474205159,4933.161379158544,1,7,1,,18,36.29674153311496,7,45.83530592741903,8.58175383468973
v6,8,random,9,1,13,13,3542.105669,272.46966684615387,13545.52834041914,2709.105668083828,129,645.0,123,123.0,13,0,65.0,9.161722118733451e-07,5.883277900000394,13,24,13,4,13,8928.87879285931,6172.44044743316,2,9,3,,22,25.3091907121057,11,113.56644179801725,5.128782445352748
v6,8,min_reff,10000,1,14,14,4051.493721,289.3924086428571,16077.468585398197,3215.4937170796393,129,645.0,121,121.0,14,0,70.0,3.920360541087575e-06,4.554346299999452,14,22,14,6,14,11419.680134196427,7127.940336145666,3,5,2,,19,29.942912726950297,11,88.17547463298976,20.81671124976664
v6,8,min_reff,10001,1,12,12,3650.331939,304.19432825,13681.659712109758,2736.3319424219517,143,715.0,139,139.0,12,0,60.0,-3.421951532800449e-06,3.252833099999407,12,18,12,6,10,6882.230576489982,3208.9168546671567,3,5,3,,15,25.003075786691387,8,108.82311747882656,19.64091078275664
v6,8,min_reff,10002,1,13,13,4244.711654,326.51628107692306,16903.558271311915,3380.711654262383,134,670.0,129,129.0,13,0,65.0,-2.623828549985774e-07,3.615184999998746,13,18,13,8,14,11141.739470649947,6929.027212835314,2,0,0,,14,49.4716739651248,8,83.03084821034973,36.50988108045542
v6,8,min_reff,10003,1,16,16,4361.575194,272.598449625,18067.87597672096,3613.575195344192,112,560.0,108,108.0,16,0,80.0,-1.3441922419588082e-06,5.684168800002226,16,22,16,10,16,12439.450825564809,6340.220647393787,3,4,1,,20,11.547093229027587,9,84.2206855669952,7.339296517324963
v6,8,min_reff,10004,1,14,14,3733.115745,266.65112464285716,14600.578718459867,2920.1157436919734,125,625.0,118,118.0,14,0,70.0,1.3080266398901585e-06,5.152165300001798,14,22,14,6,14,8680.599650997925,5051.1599845719165,5,5,1,,19,24.977309118388074,10,165.71198160683747,9.933653007978844
v6,8,collinear,10000,1,14,14,2629.079487,187.79139192857141,9905.397423876513,1981.0794847753027,97,485.0,93,93.0,14,0,70.0,2.224697254860075e-06,7.636131200000818,14,23,14,5,8,5358.013118636124,2952.4404515226206,2,2,1,,10,14.365559649368311,4,81.09111645586623,5.544884824742212
v6,8,collinear,10001,1,12,12,2793.560792,232.79673266666668,10217.803943324177,2043.5607886648354,116,580.0,110,110.0,12,0,60.0,3.335164819873171e-06,5.4324414000002434,12,20,12,5,10,4487.667546887105,2604.4994265577825,2,3,1,,13,19.324408021487198,6,123.19487349344065,12.741641623116854
v6,8,collinear,10002,1,13,13,2845.268866,218.86683584615383,10581.344315407456,2116.268863081491,112,560.0,104,104.0,13,0,65.0,2.9185089260863606e-06,11.707402599997295,13,30,13,2,22,5122.741605390873,3825.660454613902,6,5,0,,27,8.287329042464208,12,30.00377895953372,5.070479990858487
v6,8,collinear,10003,1,16,16,2502.590481,156.4119050625,9587.952392328229,1917.5904784656457,85,425.0,80,80.0,16,0,80.0,2.5343542802147567e-06,8.339904199998273,16,27,16,5,26,7239.445941370866,5781.031984088071,6,1,0,,27,8.008945308636758,11,55.41584759865319,1.6156252324776326
v6,8,collinear,10004,1,14,14,2319.538592,165.68132799999998,8362.692961358089,1672.5385922716177,97,485.0,92,92.0,14,0,70.0,-2.716178642003797e-07,11.784028399997624,14,24,14,4,5,2625.477041721546,1024.615136810354,4,5,2,,10,6.5577821576014115,4,3.0897446612922863,0.0
