version,suite,seed,channel,first_found_time_s,clear_time_s,supplement_measure_count,supplement_measure_points_json,supplement_measure_times_json,supplement_mec_before_json,supplement_mec_after_json,supplement_arrival_move_json,supplement_at_search_json,final_clear_mec_m,found_after_extra_move_m,off_search_supplement_move_m,off_search_supplement_count,threshold_chasing_20_30_count,first_supplement_clearable,first_supplement_bucket,waited_search_supplement_count,wait_saved_dedicated_proxy_count
v6,random,0,1,389.612083,693.672673,1,"[[1342.0589840487705,718.851449924303]]",[598.154865],[459.4679550687463],[15.193138665726364],[321.1836414873745],[false],15.193138665726364,773.7726835042754,321.1836414873745,1,0,1,le20_or_near,0,0
v6,random,0,2,11.0,782.695144,2,"[[938.0604140004557,0.0],[1364.7835889858056,319.2555990631297]]","[383.612083,502.198537]","[750.2346641618722,46.97192898991975]","[46.97192898991975,11.966219924537995]","[0.0,532.9322711215144]","[true,false]",11.966219924537995,953.0446248454834,532.9322711215144,1,0,0,30_50,0,0
v6,random,0,3,17.0,2813.905172,1,"[[-1.7231890251187485e-13,-938.0604140004557]]",[2747.975395],[750.3594050236094],[17.294380497406358],[0.0],[true],17.294380497406358,304.6488872029222,0,0,0,1,le20_or_near,1,1
v6,random,0,4,23.0,2007.372761,1,"[[5.743963417062496e-14,938.0604140004557]]",[1417.081033],[750.230800746104],[17.679802231000792],[0.0],[true],17.679802231000792,432.6269536590772,0,0,0,1,le20_or_near,0,0
v6,random,0,5,1154.488961,1639.401587,2,"[[5.743963417062496e-14,938.0604140004557],[54.21911329919271,1668.3474899262628]]","[1411.081033,1584.226184]","[599.0235365060399,45.18005994926703]","[45.18005994926703,17.328828996043498]","[0.0,666.0711232030678]","[true,false]",17.328828996043498,916.9481392508058,666.0711232030678,1,0,0,30_50,1,0
v6,random,0,6,371.612083,3165.321432,2,"[[654.0087309855882,-904.3327151831563],[810.7186874327616,-1492.422109990986]]","[2906.463129,3059.935433]","[671.0742785295366,42.06010336878017]","[42.06010336878017,19.81730745336485]","[432.789785141627,310.9696782374921]","[false,false]",19.81730745336485,1245.6894576269813,743.7594633791191,2,0,0,30_50,0,0
v6,random,0,7,2741.975395,2991.741497,1,"[[625.9106262152775,-931.1638425907705]]",[2920.233362],[608.2615319000581],[17.881713761581945],[38.85116329850344],[false],17.881713761581945,169.16288845394854,38.85116329850344,1,0,1,le20_or_near,0,0
v6,random,0,8,47.0,2400.005916,2,"[[-938.0604140004557,1.148792683412499e-13],[-643.3485822366049,-180.36787122332908]]","[2313.900885,2395.005916]","[750.3396494956897,22.413445690868816]","[22.413445690868816,0.0]","[0.0,345.5251550194859]","[true,false]",22.413445690868816,345.5251550194859,345.5251550194859,1,1,0,20_25,0,0
v6,random,0,9,359.612083,950.555266,2,"[[1412.5653626381127,405.5021525941404],[977.6284088058873,682.0563576276083]]","[527.918137,845.293021]","[589.9116970512008,58.68249445513159]","[58.68249445513159,18.12439285708609]","[98.59800144697557,282.9893866854371]","[false,false]",18.12439285708609,882.8986125313543,381.5873881324127,2,0,0,gt50,0,0
v6,random,0,10,1399.081033,1860.156343,1,"[[-239.6064505501733,1657.233344212164]]",[1754.363408],[567.0997731371491],[13.678904323580861],[544.8091043976294],[false],13.678904323580861,1048.7737778921162,544.8091043976294,1,0,1,le20_or_near,0,0
