channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,6889.962375,1,0,smooth,0,6582.660082,307.30229299999974,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
2,3289.244099,1,0,smooth,0,2854.293252,434.95084700000007,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
3,1548.859217,1,0,smooth,0,17.0,1531.859217,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
4,2778.804866,1,0,smooth,0,2055.930613,722.874253,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
5,6490.242119,1,0,smooth,0,6206.618343,283.62377599999945,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
6,3182.015086,1,0,smooth,0,2866.293252,315.72183399999994,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
10,917.26122,1,0,smooth,0,59.0,858.26122,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
11,1254.638246,1,2,smooth,0,65.0,1189.638246,0,dir,277.7300113795378,207.53913490819804,2,392.9422252513364,0,2,0,88.58844505026728,2,w5pro,random,4
12,4372.710195,1,17,smooth,0,3403.996146,968.7140489999997,0,dir,500.0,151.81539827120903,17,1730.8782453511476,12,5,0,431.1756490702295,2,w5pro,random,18
13,1938.240434,1,13,smooth,1,77.0,1861.240434,0,dir,248.9146810575896,42.8893479461576,14,2231.9320276053377,9,5,2,518.3864055210676,2,w5pro,random,16
14,3742.011305,1,0,smooth,0,3409.996146,332.01515900000004,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
15,463.208627,1,0,smooth,0,89.0,374.208627,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
16,2336.947045,1,0,smooth,0,2103.930613,233.0164319999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
17,4734.777113,1,0,smooth,0,4484.032191,250.74492199999986,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
19,7274.650389,1,11,smooth,0,6612.660082,661.990307,0,dir,352.06883198652866,68.76333523915338,11,656.6327556452156,6,5,0,186.32655112904314,2,w5pro,random,13
20,7516.616943,1,0,smooth,0,7349.083624,167.53331900000012,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
