channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,7617.288989,1,11,smooth,0,6426.388454,1190.9005349999998,0,omni,500.0,260.2560650639379,11,2938.2196310377117,4,7,0,642.6439262075423,2,w5pro,random,17
2,3162.254467,1,13,smooth,0,2253.696362,908.5581050000001,0,omni,500.0,208.9257686171301,13,2153.400467904002,0,13,0,495.6800935808004,2,w5pro,random,14
3,1878.407064,1,0,smooth,0,17.0,1861.407064,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
4,4202.933631,1,0,smooth,0,3986.650177,216.2834539999999,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
5,6334.98485,1,8,smooth,0,5749.128335,585.8565149999995,0,omni,500.0,197.29825729206703,8,1718.666618516636,0,8,0,383.7333237033272,2,w5pro,random,10
6,3629.672484,1,0,smooth,0,3325.01389,304.658594,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
10,1162.509218,1,0,smooth,0,59.0,1103.509218,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
11,897.686006,1,22,smooth,0,65.0,832.686006,0,dir,500.0,215.22389275226135,22,2446.9723196804052,11,11,0,599.394463936081,2,w5pro,random,23
12,2575.574374,1,1,smooth,0,2295.696362,279.87801199999967,0,dir,286.12099969969694,286.12099969969694,1,262.90532642980685,0,1,0,57.58106528596137,2,w5pro,random,3
13,1486.903464,1,8,smooth,0,77.0,1409.903464,0,dir,366.08546066500026,94.21329471677761,8,671.6660697458589,3,5,0,174.33321394917178,2,w5pro,random,10
14,3908.526647,1,0,smooth,0,3349.01389,559.512757,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,4
15,1278.65875,1,0,smooth,0,89.0,1189.65875,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
16,8200.151299,1,0,smooth,0,7955.674619,244.47667999999885,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
17,3260.833545,1,0,smooth,0,2313.696362,947.1371829999998,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
19,8800.383814,1,24,smooth,0,7967.674619,832.7091950000004,0,dir,500.0,146.80989583333334,24,1507.6307196001012,18,6,0,421.5261439200202,2,w5pro,random,25
20,9333.208263,1,0,smooth,0,7973.674619,1359.533644,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,4
