channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,6744.157241,1,0,smooth,0,6370.713601,373.4436399999995,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
2,3162.254467,1,13,smooth,0,2253.696362,908.5581050000001,0,omni,500.0,208.9257686171301,13,2153.400467904002,0,13,0,495.6800935808004,2,w5pro,random,14
3,1878.407064,1,0,smooth,0,17.0,1861.407064,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
4,4226.933631,1,0,smooth,0,3986.650177,240.2834539999999,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
5,6573.403942,1,8,smooth,0,5899.128335,674.2756069999996,0,omni,500.0,197.29825729206703,8,1753.148173004793,0,8,1,391.62963460095864,2,w5pro,random,10
6,3629.672484,1,0,smooth,0,3325.01389,304.658594,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
10,1162.509218,1,0,smooth,0,59.0,1103.509218,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
11,897.686006,1,22,smooth,0,65.0,832.686006,0,dir,500.0,215.22389275226135,22,2446.9723196804052,11,11,0,599.394463936081,2,w5pro,random,23
12,2575.574374,1,1,smooth,0,2295.696362,279.87801199999967,0,dir,286.12099969969694,286.12099969969694,1,262.90532642980685,0,1,0,57.58106528596137,2,w5pro,random,3
13,1486.903464,1,8,smooth,0,77.0,1409.903464,0,dir,366.08546066500026,94.21329471677761,8,671.6660697458589,3,5,0,174.33321394917178,2,w5pro,random,10
14,3908.526647,1,0,smooth,0,3349.01389,559.512757,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,4
15,1278.65875,1,0,smooth,0,89.0,1189.65875,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
16,7949.687695,1,0,smooth,0,7392.068105,557.6195899999993,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
17,3260.833545,1,0,smooth,0,2313.696362,947.1371829999998,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
19,7323.14391,1,0,smooth,0,6406.713601,916.4303089999994,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,8
20,6719.466416,1,0,smooth,0,6412.713601,306.7528149999998,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
