channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,5413.509343,1,0,smooth,0,5074.188918,339.3204249999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
2,3206.415918,1,0,smooth,0,2854.293252,352.1226660000002,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
3,1548.859217,1,0,smooth,0,17.0,1531.859217,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
4,2778.804866,1,0,smooth,0,2055.930613,722.874253,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
5,4981.770955,1,0,smooth,0,4698.147179,283.62377600000036,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
6,3457.411212,1,3,smooth,0,2866.293252,591.11796,0,dir,165.10651559025706,94.99066298326625,3,260.0912372691642,0,3,0,67.01824745383284,2,w5pro,random,6
10,917.26122,1,0,smooth,0,59.0,858.26122,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
11,1254.638246,1,2,smooth,0,65.0,1189.638246,0,dir,277.7300113795378,207.53913490819804,2,392.9422252513364,0,2,0,88.58844505026728,2,w5pro,random,4
12,4127.075693,1,0,smooth,0,3786.820116,340.2555769999999,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
13,1938.240434,1,13,smooth,1,77.0,1861.240434,0,dir,248.9146810575896,42.8893479461576,14,2231.9320276053377,9,5,2,518.3864055210676,2,w5pro,random,16
14,3622.797286,1,0,smooth,0,2896.293252,726.504034,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
15,463.208627,1,0,smooth,0,89.0,374.208627,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
16,2336.947045,1,0,smooth,0,2103.930613,233.0164319999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
17,3288.94434,1,0,smooth,0,2902.293252,386.6510880000001,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
19,5780.96289,1,11,smooth,0,5104.188918,676.773972,0,dir,352.06883198652866,68.76333523915338,11,656.6327556452156,6,5,0,186.32655112904314,2,w5pro,random,14
20,5274.070211,1,0,smooth,0,5110.188918,163.88129300000037,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
