channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,3242.872011,1,0,smooth,0,2817.788203,425.08380799999986,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
2,5189.39653,1,0,smooth,0,4907.996378,281.40015200000016,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
3,1906.711202,1,0,smooth,0,17.0,1889.711202,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
4,4838.491084,1,14,smooth,0,4340.93396,497.55712399999993,0,dir,375.0419189485673,65.7034382535099,14,639.4959142050985,9,5,0,197.8991828410197,2,w5pro,random,16
5,3147.222994,1,0,smooth,0,2835.788203,311.43479100000013,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
6,5358.792876,1,1,smooth,0,4913.996378,444.7964980000006,0,dir,146.72607690326151,146.72607690326151,1,125.76581441380019,0,1,0,30.153162882760036,2,w5pro,random,3
10,502.855575,1,0,smooth,0,59.0,443.855575,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
11,2807.299714,1,17,smooth,2,65.0,2742.299714,0,dir,375.1676270648828,89.17282041756475,19,3310.850022187128,16,3,2,759.1700044374256,2,w5pro,random,21
12,6510.603533,1,12,smooth,0,5770.849579,739.7539540000007,0,dir,440.88904499657554,136.96523893433547,12,1278.613358891805,2,10,0,315.722671778361,2,w5pro,random,15
13,2469.311014,1,13,smooth,1,77.0,2392.311014,0,dir,248.9146810575896,42.8893479461576,14,2164.6348673954717,9,5,2,504.92697347909433,2,w5pro,random,16
14,5619.581973,1,0,smooth,0,4943.996378,675.5855950000005,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
15,1528.771861,1,0,smooth,0,89.0,1439.771861,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
16,3652.687409,1,0,smooth,0,2877.788203,774.899206,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
17,5494.492764,1,0,smooth,0,4949.996378,544.4963859999998,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
19,4161.950249,1,22,smooth,0,2895.788203,1266.1620460000004,0,dir,500.0,144.53125,22,1320.1307110327373,18,4,0,374.02614220654743,2,w5pro,random,23
20,3069.321522,1,0,smooth,0,2901.788203,167.53331900000012,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
