channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,6396.446982,1,0,smooth,0,5883.986513,512.4604690000006,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
2,3132.981254,1,0,smooth,0,2780.858588,352.12266599999975,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
3,1391.860267,1,0,smooth,0,17.0,1374.860267,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
4,2705.370202,1,0,smooth,0,1982.495949,722.874253,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
5,5791.56855,1,0,smooth,0,5507.944774,283.62377600000036,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
6,3653.600109,1,3,smooth,0,2792.858588,860.7415209999999,0,dir,165.10651559025706,94.99066298326625,3,781.7353271262554,0,3,1,172.34706542525106,2,w5pro,random,6
10,760.26227,1,0,smooth,0,59.0,701.26227,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
11,1097.639296,1,2,smooth,0,65.0,1032.639296,0,dir,277.7300113795378,207.53913490819804,2,392.9422252513364,0,2,0,88.58844505026728,2,w5pro,random,4
12,4515.21477,1,0,smooth,0,4345.784426,169.43034399999942,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
13,1864.80577,1,13,smooth,1,77.0,1787.80577,0,dir,248.9146810575896,42.8893479461576,14,1984.7275089793736,9,5,1,467.94550179587475,2,w5pro,random,16
14,3472.290348,1,0,smooth,0,2822.858588,649.4317599999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
15,463.208627,1,0,smooth,0,89.0,374.208627,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
16,2263.512381,1,0,smooth,0,2030.495949,233.0164319999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
17,3215.509676,1,0,smooth,0,2828.858588,386.6510880000001,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
19,9171.624267,1,11,smooth,0,5913.986513,3257.6377539999994,0,dir,478.042446822595,232.02727645555234,11,2097.594779542554,1,10,1,475.5189559085108,2,w5pro,random,14
20,6370.909084,1,0,smooth,0,5919.986513,450.92257100000006,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
