suite,seed,channel,ready_time_s,clear_time_s,delay_time_s,delayed_actions,direct_distance_m,actual_path_until_clear_m,clear_delay_path_excess_m,task_pool_size_at_ready,strategy
random,0,14,745.0,860.199274,115.19927399999995,1,550.9963688960372,550.9963688960372,0.0,29,a970_p140
random,0,8,1363.205565,1602.044584,238.839019,21,253.64045741520778,569.1950952474499,315.5546378322421,27,a970_p140
random,0,9,3205.832628,3214.340363,8.507734999999684,1,17.538675952522997,17.538675952522997,0.0,22,a970_p140
random,0,20,3623.075395,4304.347181,681.2717860000002,29,560.7378257883311,2591.358922351783,2030.6210965634518,21,a970_p140
random,0,1,4042.179605,4425.127589,382.9479839999999,19,416.3702055033617,1359.7399178566507,943.369712353289,19,a970_p140
random,0,16,4257.597507,7385.034224,3127.4367169999996,74,440.7861781353007,13542.183586618268,13101.397408482968,21,a970_p140
random,0,5,4566.646718,4878.753122,312.1064040000001,17,402.69932177257294,1055.5320214461228,652.8326996735499,19,a970_p140
random,0,12,4969.334568,5013.970727,44.63615899999968,1,198.18079291728924,198.18079291728924,0.0,18,a970_p140
random,0,18,5060.425675,5330.749296,270.32362099999955,14,384.72659399622796,936.6181051658654,551.8915111696374,17,a970_p140
random,0,6,5406.303158,5495.659785,89.35662700000012,1,421.78313518721353,421.78313518721353,0.0,16,a970_p140
random,0,13,5986.075064,6047.874542,61.79947799999991,2,250.8645650622232,253.99739097188544,3.1328259096622446,6,a970_p140
random,0,3,6801.999206,6840.028941,38.029734999999164,1,165.1486771440915,165.1486771440915,0.0,4,a970_p140
random,0,2,7136.749451,7144.966405,8.216954000000442,1,16.084768528644382,16.084768528644382,0.0,3,a970_p140
random,1,14,433.0,579.989982,146.98998200000005,1,709.9499090883888,709.9499090883888,0.0,28,a970_p140
random,1,4,1192.523288,1256.04192,63.5186319999998,1,292.59316090221347,292.59316090221347,0.0,24,a970_p140
random,1,17,3972.817369,4027.780758,54.96338900000001,1,249.81694274967032,249.81694274967032,0.0,16,a970_p140
random,1,3,4805.853388,4813.537422,7.684033999999883,1,13.420171234718113,13.420171234718113,0.0,13,a970_p140
random,1,9,4929.462363,4936.687108,7.224745000000439,1,11.12372462893842,11.12372462893842,0.0,12,a970_p140
random,1,13,5183.297148,5291.274526,107.9773780000005,2,409.8374488051766,484.8868887101951,75.04943990501846,10,a970_p140
random,1,8,5913.815522,6037.789641,123.97411900000043,1,594.8705949873791,594.8705949873791,0.0,6,a970_p140
random,1,19,6439.89516,6448.742714,8.847553999999946,1,19.237769079139266,19.237769079139266,0.0,4,a970_p140
random,2,2,1273.99882,1343.648887,69.65006700000004,2,281.0700555788089,293.2503366403535,12.180281061544633,29,a970_p140
random,2,17,1300.221596,1387.932511,87.71091499999989,2,371.0440490423898,388.5545764104613,17.510527368071507,28,a970_p140
random,2,14,1537.722356,3663.676318,2125.9539619999996,79,637.1279347326839,8444.769819695142,7807.641884962459,27,a970_p140
random,2,13,1727.531554,1735.499855,7.96830100000011,1,14.841507069281501,14.841507069281501,0.0,27,a970_p140
random,2,10,1990.223552,1997.28939,7.065837999999985,1,10.329189294961504,10.329189294961504,0.0,25,a970_p140
random,2,11,2344.973519,2358.053838,13.08031899999969,1,40.40159632004196,40.40159632004196,0.0,24,a970_p140
random,2,16,2446.448395,3015.078129,568.6297340000001,7,852.0129111840665,2658.1486697467835,1806.135758562717,10,a970_p140
random,2,20,2546.568946,2785.865729,239.29678300000023,5,312.063840973757,1061.4839104305202,749.4200694567631,10,a970_p140
random,2,1,2564.159935,2633.476381,69.31644599999981,1,321.5822288327217,321.5822288327217,0.0,10,a970_p140
random,2,5,2656.737796,2714.47089,57.733094000000165,1,263.6654675915899,263.6654675915899,0.0,9,a970_p140
random,2,12,4244.648959,4315.396431,70.74747200000002,1,328.7373584151443,328.7373584151443,0.0,3,a970_p140
random,2,3,4819.095672,4827.220254,8.124581999999464,1,15.622910812236,15.622910812236,0.0,2,a970_p140
min_reff,10000,16,1079.272819,1318.931435,239.65861599999994,21,299.5279672960775,578.2930851233398,278.76511782726226,29,a970_p140
min_reff,10000,19,1079.272819,1092.815466,13.542646999999988,1,42.71323696739132,42.71323696739132,0.0,29,a970_p140
min_reff,10000,7,2420.054719,2525.426145,105.3714259999997,1,501.85713114841496,501.85713114841496,0.0,23,a970_p140
min_reff,10000,9,2777.557275,2791.282666,13.725390999999945,1,43.62695540394309,43.62695540394309,0.0,23,a970_p140
min_reff,10000,5,2905.511526,4371.089461,1465.5779349999998,68,446.1503012539087,5307.8896734100035,4861.739372156095,22,a970_p140
min_reff,10000,3,3240.680479,3330.739124,90.05864500000007,1,425.2932239342157,425.2932239342157,0.0,21,a970_p140
min_reff,10000,6,3855.076437,3921.242223,66.16578600000003,1,305.828929205489,305.828929205489,0.0,18,a970_p140
min_reff,10000,14,4205.400588,4291.256857,85.85626899999988,1,404.2813453031267,404.2813453031267,0.0,17,a970_p140
min_reff,10000,10,4452.724776,4531.806271,79.08149500000036,1,370.40747388873916,370.40747388873916,0.0,15,a970_p140
min_reff,10000,2,6152.35591,6292.780468,140.4245579999997,11,118.06144343612078,377.12278649008283,259.06134305396205,9,a970_p140
min_reff,10000,17,6324.182448,6385.265475,61.083027000000584,1,280.4151330812101,280.4151330812101,0.0,7,a970_p140
min_reff,10000,4,6622.952384,6706.025781,83.07339700000011,1,390.3669853916055,390.3669853916055,0.0,6,a970_p140
min_reff,10000,1,7501.304357,7508.6341,7.329743000000235,1,11.64871634068832,11.64871634068832,0.0,2,a970_p140
min_reff,10001,3,275.080383,282.865527,7.7851440000000025,1,13.925722461780268,13.925722461780268,0.0,25,a970_p140
min_reff,10001,4,749.935128,1017.764998,267.82987,20,534.2159608007979,744.14935163214,209.93339083134208,25,a970_p140
min_reff,10001,5,1311.04784,1386.515577,75.46773699999994,1,352.33868556756795,352.33868556756795,0.0,22,a970_p140
min_reff,10001,18,2498.496638,2602.331213,103.83457499999986,1,494.17287627918927,494.17287627918927,0.0,17,a970_p140
min_reff,10001,9,2932.839071,2940.15017,7.311099000000013,1,11.555494494411745,11.555494494411745,0.0,15,a970_p140
min_reff,10001,2,3844.974626,3863.949721,18.975094999999783,1,69.87547251747938,69.87547251747938,0.0,13,a970_p140
min_reff,10001,20,3922.576961,4506.485505,583.9085439999994,18,381.7429671853503,2399.5427178959335,2017.799750710583,12,a970_p140
min_reff,10001,17,4227.557563,4234.670201,7.112637999999606,1,10.563191964008373,10.563191964008373,0.0,12,a970_p140
min_reff,10001,14,4744.433272,4831.363925,86.93065299999944,1,409.6532646090678,409.6532646090678,0.0,10,a970_p140
min_reff,10001,1,5347.340923,5444.882499,97.54157600000053,1,462.70788111138205,462.70788111138205,0.0,8,a970_p140
min_reff,10001,8,5635.301204,5787.031245,151.7300409999998,1,733.650206239422,733.650206239422,0.0,6,a970_p140
min_reff,10001,16,6346.968814,6352.701838,5.733024000000114,1,3.665119703193952,3.665119703193952,0.0,3,a970_p140
collinear,10000,6,432.0,2682.656005,2250.656005,100,837.3131960123535,8308.280019369618,7470.966823357265,32,a970_p140
