strategy,suite,seed,channel,kind,first_found_time_s,clear_time_s,found_to_clear_s,supplement_measure_count,reacquisition_attempts,reacquisition_successes,reacquisition_no_signal,reacquisition_move_m,reacquisition_switch_count,reacquisition_time_s,mean_planned_step_m,max_planned_step_m,coarse_probe_count,intersection_probe_count,fallback_probe_count,cleared
a970_p140,random,0,1,dir,1930.14769,4425.127589,2494.979899,10,9,8,1,2277.3484197523403,8,508.46968395046804,450.9561224731656,500.0,4,0,0,1
a970_p140,random,0,2,omni,4173.597507,7144.966405,2971.3688979999997,8,6,5,1,1353.60255210235,2,302.72051042047,200.38814101538173,500.0,5,0,0,1
a970_p140,random,0,3,omni,4775.916664,6840.028941,2064.1122769999993,5,3,3,0,2364.6572406109754,1,488.9314481221951,353.1198555125213,500.0,3,0,0,1
a970_p140,random,0,4,dir,5804.28971,6313.067757,508.7780469999998,9,8,2,6,1100.9660778329617,0,260.19321556659236,328.125,500.0,8,0,0,1
a970_p140,random,0,5,omni,29.0,4878.753122,4849.753122,15,13,5,8,896.0719620997871,13,257.21439241995745,317.04379137963946,415.6112658256743,2,0,0,1
a970_p140,random,0,6,dir,402.0,5495.659785,5093.659785,14,13,2,11,347.7693118360694,13,147.55386236721387,430.12630353086917,430.12630353086917,1,0,0,1
a970_p140,random,0,7,dir,3357.075395,7643.34352,4286.2681250000005,20,18,5,13,1784.7002593150382,5,451.9400518630076,53.21952031457893,327.5077659653113,13,0,1,1
a970_p140,random,0,8,dir,1015.011278,1602.044584,587.033306,4,1,1,0,186.92328680545972,1,43.384657361091946,129.7593636047381,129.7593636047381,1,0,0,1
a970_p140,random,0,9,dir,1972.14769,3214.340363,1242.1926729999998,8,6,6,0,1288.9262009007718,3,290.78524018015435,210.54954412654587,500.0,5,0,0,1
a970_p140,random,0,10,dir,685.0,2183.641156,1498.6411560000001,24,23,5,18,1467.89844991578,5,413.579689983156,70.9816023163439,473.3268431106661,19,0,1,1
a970_p140,random,0,12,omni,71.0,5013.970727,4942.970727,15,14,4,10,548.843578599984,14,193.7687157199968,357.5793370198195,500.0,2,0,0,1
a970_p140,random,0,13,dir,5222.762572,6047.874542,825.1119699999999,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,random,0,14,dir,354.0,860.199274,506.19927399999995,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,random,0,16,omni,3327.075395,7385.034224,4057.958829,6,3,1,2,932.5011871748052,3,204.50023743496104,227.95150736415772,227.95150736415772,1,0,0,1
a970_p140,random,0,18,omni,107.0,5330.749296,5223.749296,16,14,4,10,374.50621784396577,14,158.90124356879315,286.60609098866195,400.98070341799854,2,0,0,1
a970_p140,random,0,20,dir,119.0,4304.347181,4185.347181,13,12,4,8,2661.383078174143,11,603.2766156348287,500.0,500.0,1,0,0,1
a970_p140,random,1,3,omni,1036.720975,4813.537422,3776.816447,19,18,7,11,809.9935133431921,15,266.99870266863843,171.51247625606177,443.0509825344722,5,0,0,1
a970_p140,random,1,4,omni,23.0,1256.04192,1233.04192,5,4,4,0,698.8907105450035,4,163.7781421090007,349.44535527250173,399.87914743780345,2,0,0,1
a970_p140,random,1,7,dir,2522.357863,7393.196555,4870.838692,36,35,3,32,1988.5487075255826,15,587.7097415051165,148.4375,500.0,21,0,0,1
a970_p140,random,1,8,omni,47.0,6037.789641,5990.789641,23,22,7,15,786.6559281616769,22,289.3311856323354,500.0,500.0,2,0,0,1
a970_p140,random,1,9,omni,1072.720975,4936.687108,3863.966133,20,19,8,11,387.34823176650343,16,188.46964635330067,202.08490019895143,500.0,6,0,0,1
a970_p140,random,1,11,omni,65.0,909.599442,844.599442,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,random,1,13,omni,1090.720975,5291.274526,4200.553551,19,18,7,11,386.89730837155645,18,185.3794616743113,351.6122956441951,500.0,4,0,0,1
a970_p140,random,1,14,omni,83.0,579.989982,496.98998200000005,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,random,1,16,omni,95.0,3195.815859,3100.815859,16,14,7,7,747.2389543571311,10,229.4477908714262,149.4477908714262,386.16308030386404,5,0,0,1
a970_p140,random,1,17,omni,3685.73757,4027.780758,342.0431880000001,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,random,1,19,dir,4392.29777,6448.742714,2056.444944,8,6,2,4,1038.9755423000875,5,242.7951084600175,232.84160772286202,327.1797928875897,2,0,0,1
a970_p140,random,2,1,omni,2368.448395,2633.476381,265.02798600000006,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,random,2,2,omni,426.0,1343.648887,917.6488870000001,4,3,3,0,294.9430786985979,3,76.98861573971958,294.94307869859784,294.94307869859784,1,0,0,1
a970_p140,random,2,3,omni,17.0,4827.220254,4810.220254,13,12,6,6,2363.496197401437,7,539.6992394802874,244.78544497581478,500.0,6,0,0,1
a970_p140,random,2,4,dir,2125.692138,3524.675212,1398.9830740000002,13,12,6,6,1447.4643579134822,1,350.49287158269647,141.9378481164351,500.0,12,0,0,1
a970_p140,random,2,5,omni,2386.448395,2714.47089,328.02249500000016,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,random,2,6,dir,1459.722356,4099.166322,2639.443966,24,23,4,19,1597.450018022968,2,436.4900036045936,129.27327758404527,500.0,22,0,0,1
a970_p140,random,2,10,omni,59.0,1997.28939,1938.28939,11,10,7,3,613.9831208150646,6,178.79662416301292,194.80020007909695,500.0,6,0,0,1
a970_p140,random,2,11,dir,65.0,2358.053838,2293.053838,10,9,5,4,931.4069071351321,6,237.28138142702642,232.85172678378302,499.8027463519407,4,0,0,1
a970_p140,random,2,12,dir,366.0,4315.396431,3949.396431,8,7,3,4,672.413186801592,6,175.4826373603184,425.7200525120196,500.0,2,0,0,1
a970_p140,random,2,13,dir,77.0,1735.499855,1658.499855,13,12,6,6,650.486437780453,6,196.0972875560906,86.75151082154733,335.41363515923763,8,0,0,1
a970_p140,random,2,14,omni,1025.010204,3663.676318,2638.6661139999997,5,2,1,1,327.7406188363955,2,77.54812376727911,324.8639887827028,324.8639887827028,1,0,0,1
a970_p140,random,2,15,omni,89.0,1858.931207,1769.931207,10,9,6,3,423.1949213890288,7,136.63898427780578,136.29109380799963,354.4826995615265,5,0,0,1
a970_p140,random,2,16,omni,2071.692138,3015.078129,943.3859910000001,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,random,2,17,dir,336.0,1387.932511,1051.932511,4,3,3,0,101.11388062549615,3,38.22277612509923,390.0121539310897,390.0121539310897,1,0,0,1
a970_p140,random,2,19,dir,2440.448395,5303.336748,2862.888353,23,22,4,18,1800.5824691508883,1,471.11649383017766,144.53125,500.0,22,0,0,1
a970_p140,random,2,20,omni,2446.448395,2785.865729,339.4173340000002,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,min_reff,10000,1,dir,6492.988827,7508.6341,1015.6452730000001,9,8,3,5,2297.782171131615,2,501.556434226323,254.52250454375394,416.0343208965672,6,0,0,1
a970_p140,min_reff,10000,2,dir,11.0,6292.780468,6281.780468,22,21,4,17,846.76463551689,19,293.352927103378,281.3023813009649,482.1053341430278,3,0,0,1
a970_p140,min_reff,10000,3,dir,977.272819,3330.739124,2353.466305,8,6,2,4,433.7209831937247,6,122.74419663874494,433.7209831937247,433.7209831937247,1,0,0,1
a970_p140,min_reff,10000,4,omni,4104.535519,6706.025781,2601.4902620000003,8,7,2,5,409.8177852846738,7,123.96355705693476,409.81778528467373,409.81778528467373,1,0,0,1
a970_p140,min_reff,10000,5,dir,29.0,4371.089461,4342.089461,14,13,2,11,541.1442992613795,13,186.2288598522759,449.93849007024414,449.93849007024414,1,0,0,1
a970_p140,min_reff,10000,6,omni,349.0,3921.242223,3572.242223,13,12,4,8,959.8289127494636,12,263.9657825498927,404.4259932333864,500.0,2,0,0,1
a970_p140,min_reff,10000,7,omni,1945.044515,2525.426145,580.3816299999999,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,min_reff,10000,9,dir,2366.054719,2791.282666,425.22794699999986,3,1,1,0,67.25551627071621,0,18.45110325414324,91.16282639636741,91.16282639636741,1,0,0,1
a970_p140,min_reff,10000,10,dir,2673.422654,4531.806271,1858.3836170000004,5,3,1,2,378.1765774847642,3,93.63531549695284,384.8093209091556,384.8093209091556,1,0,0,1
a970_p140,min_reff,10000,13,dir,5229.278641,5967.002983,737.7243420000004,10,9,2,7,1212.3596587749487,3,290.4719317549897,372.94097465649,500.0,7,0,0,1
