side_m,cap_extension_m,record,probe_kind,source_x,source_y,source_radius_m,max_angular_gap_deg,nearby_detector_count,direction_deg,visible_distance_m
960.0,180.0,worst_angular_gap,scan_caps,1701.3791675852744,-588.6623893353055,1800.3373240898807,177.21773401659306,4,,
960.0,180.0,worst_sampled_visible_distance,scan_caps,-4.5959300311564455,-1797.768775266122,1797.7746499199236,,,183.37511932588708,964.8947802289289
970.0,140.0,worst_angular_gap,scan_caps,1675.6089606342869,-657.9387132473585,1800.1524211431388,179.6188512591132,4,,
970.0,140.0,worst_sampled_visible_distance,scan_caps,1534.553234535961,-882.2543975481775,1770.0922155689736,,,60.0247388244084,970.9582388642413
970.0,180.0,worst_angular_gap,scan_caps,1713.3107382913652,-552.6373188096336,1800.2337881746369,172.88079325945284,4,,
970.0,180.0,worst_sampled_visible_distance,scan_caps,1515.1535500616092,-875.8556367085599,1750.089533886325,,,239.40953821181947,971.58846819103
980.0,120.0,worst_angular_gap,scan_boundary,1664.1828605021637,685.9266774304933,1800.0,178.72668512533642,4,,
980.0,120.0,worst_sampled_visible_distance,scan_caps,-1.0008347251224547,1697.4097914174997,1697.4100864759073,,,211.9809729640014,978.9991652748771
980.0,160.0,worst_angular_gap,scan_boundary,1706.982579371159,-571.1483815291654,1800.0000000000002,171.49649621852765,4,,
980.0,160.0,worst_sampled_visible_distance,scan_boundary,1561.9778160640712,-894.5531298495994,1800.0,,,63.39199033595542,979.1051838433093
990.0,100.0,worst_angular_gap,scan_caps,1427.6022874009996,1096.7809042062993,1800.2712692325435,178.06098286060882,4,,
990.0,100.0,worst_sampled_visible_distance,scan_caps,-1553.0990942879387,-899.4140584904608,1794.7318588826292,,,295.3210299512202,990.8688928565238
990.0,120.0,worst_angular_gap,scan_boundary,-293.98673203492,1775.829890892545,1800.0000000000002,173.68761019880367,4,,
990.0,120.0,worst_sampled_visible_distance,scan_caps,1533.2730485794916,-883.7537769706737,1769.7307647803887,,,58.882903665382095,990.2452764014542
990.0,160.0,worst_angular_gap,scan_random,1557.6930723396404,-891.1299160815748,1794.5807964397877,169.84887199717105,3,,
990.0,160.0,worst_sampled_visible_distance,scan_random,-1483.5928609466835,855.7533101280152,1712.705901445727,,,264.5453207945951,987.9006226197992
990.0,200.0,worst_angular_gap,scan_random,1557.6930723396404,-891.1299160815748,1794.5807964397877,171.530096842114,3,,
990.0,200.0,worst_sampled_visible_distance,scan_caps,-1490.09679959332,-858.5372338949676,1719.7309830733052,,,104.88393501103003,988.4793006192544
995.0,100.0,worst_angular_gap,scan_caps,1421.4432170914843,1104.7692349854574,1800.2821673242618,175.34601657935843,4,,
995.0,100.0,worst_sampled_visible_distance,scan_boundary,-1560.414148084085,897.2779315568947,1800.0,,,241.19711910412784,994.8123896621622
997.0,80.0,worst_angular_gap,scan_boundary,1630.0238382200514,763.5589609417024,1800.0000000000002,179.52038816653052,4,,
997.0,80.0,worst_sampled_visible_distance,scan_caps,-1499.534665662348,866.4390816543448,1731.8547559599547,,,59.06616545759209,996.4216222561793
970.0,140.0,worst_angular_gap,formal_boundary,-1410.6482231865116,1118.066004500959,1800.0000000000002,179.57630245231107,4,,
970.0,140.0,worst_sampled_visible_distance,formal_boundary,2.0943946298088574,1799.9987815304582,1800.0,,,3.81605584117954,975.304849092267
990.0,200.0,worst_angular_gap,hand_boundary,-1555.4311970739366,-905.8883988489647,1800.0,172.0403712428171,3,,
990.0,200.0,worst_sampled_visible_distance,hand_boundary,2.0943946298088574,1799.9987815304582,1800.0,,,359.70909758087794,991.5786399226157
