channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,1190.695572,1,0,smooth,0,5.0,1185.695572,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_boundary,3
2,,0,0,smooth,0,11.0,,0,dir,0.0,0.0,12,0.0,11,1,12,72.0,0,w5pro,dir_boundary,13
3,,0,0,smooth,0,2823.929833,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_boundary,0
4,,0,0,smooth,0,1328.548024,,0,dir,0.0,0.0,5,0.0,4,1,5,30.0,0,w5pro,dir_boundary,6
5,,0,1,smooth,0,29.0,,0,dir,500.0,500.0,10,1481.7250419292086,9,1,10,356.3450083858417,0,w5pro,dir_boundary,11
6,1747.547614,1,0,smooth,0,959.0,788.5476140000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_boundary,2
7,,0,0,smooth,0,41.0,,0,dir,0.0,0.0,8,0.0,8,0,8,48.0,0,w5pro,dir_boundary,10
8,,0,0,smooth,0,965.0,,0,dir,0.0,0.0,6,0.0,6,0,6,36.0,0,w5pro,dir_boundary,7
9,,0,0,smooth,0,53.0,,0,dir,0.0,0.0,9,0.0,6,3,9,54.0,0,w5pro,dir_boundary,10
10,,0,0,smooth,0,59.0,,0,dir,0.0,0.0,9,0.0,8,1,9,54.0,0,w5pro,dir_boundary,10
12,,0,0,smooth,0,349.0,,0,dir,0.0,0.0,8,0.0,8,0,8,48.0,0,w5pro,dir_boundary,9
13,,0,0,smooth,0,3427.940037,,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_boundary,0
14,,0,0,smooth,0,2841.929833,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_boundary,0
16,,0,2,smooth,0,95.0,,0,dir,500.0,500.0,11,368.4412910353219,10,1,10,138.6882582070644,0,w5pro,dir_boundary,12
18,,0,0,smooth,0,2859.929833,,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_boundary,0
20,,0,0,smooth,0,119.0,,0,omni,0.0,0.0,7,0.0,7,0,7,42.0,0,w5pro,dir_boundary,10
