channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,8797.457155,1,1,smooth,0,319.0,8478.457155,0,dir,500.0,500.0,23,903.4883217415345,19,4,23,318.6976643483069,0,w5pro,dir_outward,24
2,9118.69868,1,1,smooth,0,325.0,8793.69868,0,dir,500.0,500.0,19,1046.3927137813864,17,2,19,323.27854275627726,0,w5pro,dir_outward,21
3,2090.37859,1,0,smooth,0,1261.0,829.3785899999998,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_outward,2
4,4354.263847,1,1,smooth,0,2802.821795,1551.4420520000003,0,dir,347.558242850203,347.558242850203,4,347.55824285020304,2,2,4,93.5116485700406,0,w5pro,dir_outward,6
5,10839.353477,1,4,smooth,0,6381.800665,4457.552812000001,0,dir,500.0,375.07333044478065,4,1437.4789363375019,1,3,0,307.49578726750036,0,w5pro,dir_outward,5
6,4644.285908,1,1,smooth,0,349.0,4295.285908,0,omni,482.4799199598475,482.4799199598475,13,914.4842422289237,8,5,13,260.8968484457847,0,w5pro,dir_outward,14
7,9999.734311,1,1,smooth,0,5995.790461,4003.9438500000006,0,dir,460.96046841401005,460.96046841401005,1,440.71754398151825,0,1,0,93.14350879630365,0,w5pro,dir_outward,4
8,5309.042386,1,0,smooth,0,4857.718882,451.32350399999996,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_outward,1
9,8430.331851,1,1,smooth,0,367.0,8063.331851000001,0,dir,500.0,500.0,20,727.0959890648952,17,3,20,265.41919781297906,0,w5pro,dir_outward,21
10,8122.42587,1,23,smooth,0,3404.764447,4717.661423,0,dir,500.0,147.0788043478261,32,2172.387171674991,27,5,10,604.4774343349982,0,w5pro,dir_outward,33
12,10360.077576,1,18,smooth,0,6393.800665,3966.276911,0,dir,500.0,179.6875,18,1168.2480569559425,15,3,0,323.6496113911885,0,w5pro,dir_outward,19
13,11338.59915,1,0,smooth,0,6961.810869,4376.788281,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_outward,2
14,2060.167714,1,0,smooth,0,1315.0,745.1677140000002,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_outward,2
16,7566.948436,1,25,smooth,1,1943.0,5623.948436,0,dir,500.0,146.22596153846155,39,2315.687839523066,34,5,14,672.1375679046132,0,w5pro,dir_outward,41
18,3160.280904,1,0,smooth,0,2560.821795,599.4591090000004,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_outward,2
20,9624.127684,1,1,smooth,0,119.0,9505.127684,0,omni,500.0,500.0,21,1563.9291121804945,12,9,21,438.7858224360989,0,w5pro,dir_outward,22
1,1190.695572,1,0,smooth,0,5.0,1185.695572,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_boundary,3
2,5658.50147,1,1,smooth,0,11.0,5647.50147,0,dir,295.39984270666906,295.39984270666906,13,507.7266466347374,11,2,13,179.54532932694747,0,w5pro,dir_boundary,14
3,7137.810138,1,0,smooth,0,2823.929833,4313.880305,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_boundary,2
4,6539.940619,1,1,smooth,0,1328.548024,5211.392595,0,dir,347.0557010662873,347.0557010662873,6,1233.7671007267365,4,2,6,282.7534201453473,0,w5pro,dir_boundary,7
5,4274.694889,1,9,smooth,0,29.0,4245.694889,0,dir,500.0,243.27550692028592,18,2668.990345027821,14,4,11,634.7980690055642,0,w5pro,dir_boundary,19
6,1747.547614,1,0,smooth,0,959.0,788.5476140000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,dir_boundary,2
7,4482.070744,1,2,smooth,0,41.0,4441.070744,0,dir,79.11549857776451,59.172879762421616,10,937.7009138529147,8,2,9,246.54018277058293,0,w5pro,dir_boundary,12
8,5489.546952,1,18,smooth,0,965.0,4524.546952,0,dir,500.0,120.39329704963413,24,1785.89318529112,21,3,7,484.178637058224,0,w5pro,dir_boundary,25
9,6215.246141,1,1,smooth,0,53.0,6162.246141,0,dir,500.0,500.0,10,732.0353278984356,6,4,10,206.40706557968713,0,w5pro,dir_boundary,11
10,5906.560971,1,4,smooth,0,59.0,5847.560971,0,dir,310.94337117519433,170.75680943198108,13,1110.2975066153917,10,3,10,297.05950132307834,0,w5pro,dir_boundary,14
