channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,8759.691134,1,1,smooth,0,633.0,8126.691134000001,0,dir,500.0,500.0,16,234.11920382729048,12,4,16,142.8238407654581,0,w5pro,edge_cluster,17
2,8561.335624,1,3,smooth,0,2354.45352,6206.882103999999,0,dir,166.92187334026403,95.01127541854562,10,1988.315207660849,7,3,8,455.6630415321698,0,w5pro,edge_cluster,13
3,10064.492311,1,0,smooth,0,4942.484132,5122.008179,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,2
4,6957.528892,1,18,smooth,0,5546.494336,1411.0345560000005,0,dir,500.0,132.3883473816587,18,933.5795632089163,15,3,1,277.71591264178323,0,w5pro,edge_cluster,20
5,10237.112448,1,0,smooth,0,4954.484132,5282.628316,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,2
6,1849.239195,1,0,smooth,0,971.0,878.2391950000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,3
7,7993.97327,1,1,smooth,0,355.0,7638.97327,0,dir,500.0,500.0,17,1030.0910643735315,13,4,17,308.0182128747063,0,w5pro,edge_cluster,18
8,7597.270594,1,15,smooth,0,4652.484132,2944.786462,0,dir,425.7729444309674,71.25110415572058,15,1724.558807858354,9,6,1,420.9117615716708,0,w5pro,edge_cluster,16
9,9165.988193,1,5,smooth,0,983.0,8182.988192999999,0,dir,445.7102785549956,171.82079721016933,19,965.8998825710706,13,6,15,303.1799765142141,0,w5pro,edge_cluster,20
10,9220.773178,1,1,smooth,0,989.0,8231.773178,0,dir,60.93679241750617,60.93679241750617,15,162.3614899063073,11,4,15,122.47229798126146,0,w5pro,edge_cluster,16
12,6204.407868,1,11,smooth,0,1297.0,4907.407868,0,dir,415.9064950132679,82.05131437361035,24,1668.608077747413,19,5,14,467.72161554948264,0,w5pro,edge_cluster,25
13,8939.116235,1,1,smooth,0,1007.0,7932.1162349999995,0,dir,500.0,500.0,15,272.1956049774697,10,5,15,144.43912099549394,0,w5pro,edge_cluster,16
14,5809.686252,1,5,smooth,0,1303.0,4506.686252,0,omni,445.9640926552334,172.76214543254721,18,1040.9595853220058,12,6,14,312.19191706440114,0,w5pro,edge_cluster,19
16,8138.976922,1,1,smooth,0,409.0,7729.976922,0,dir,473.7619725263926,473.7619725263926,17,212.53296454327128,13,4,17,144.50659290865426,0,w5pro,edge_cluster,18
18,6674.812979,1,0,smooth,0,5570.494336,1104.3186430000005,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,1
20,7171.358832,1,0,smooth,0,4688.484132,2482.8747000000003,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,2
1,8455.21107,1,1,iid,0,633.0,7822.211069999999,0,dir,500.0,500.0,16,247.0711185284425,12,4,16,145.4142237056885,0,w5pro,edge_cluster,17
2,8254.05014,1,3,iid,0,2354.504341,5899.5457989999995,0,dir,158.3452255189952,89.7442854503734,10,1985.2928260020776,7,3,8,455.0585652004155,0,w5pro,edge_cluster,13
3,9987.259695,1,0,iid,0,4942.534953,5044.724742,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,2
4,6709.817482,1,2,iid,0,5546.545157,1163.2723250000008,0,dir,500.0,261.62427336959774,2,284.35985646742324,0,2,1,67.87197129348465,0,w5pro,edge_cluster,4
5,9795.122183,1,7,iid,0,4954.534953,4840.587229999999,0,dir,406.4418276603035,119.46922459125865,7,706.5287932571654,2,5,0,176.30575865143308,0,w5pro,edge_cluster,9
6,1849.380112,1,0,iid,0,971.0,878.380112,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,3
7,7687.204404,1,1,iid,0,355.0,7332.204404,0,dir,500.0,500.0,17,1022.5840297042679,13,4,17,306.5168059408536,0,w5pro,edge_cluster,18
8,7290.248269,1,8,iid,0,4652.534953,2637.7133159999994,0,dir,427.41930103607115,118.87500296517479,8,1661.8187771215635,3,5,1,373.36375542431267,0,w5pro,edge_cluster,9
9,8861.608222,1,5,iid,0,983.0,7878.608222000001,0,dir,435.35670667395675,168.59815335055796,19,959.5075806758146,13,6,15,301.9015161351629,0,w5pro,edge_cluster,20
10,8919.354085,1,1,iid,0,989.0,7930.354085000001,0,dir,59.49527347666048,59.49527347666048,15,177.9301752477266,11,4,15,125.58603504954532,0,w5pro,edge_cluster,16
12,6162.011759,1,4,iid,0,1297.0,4865.011759,0,dir,415.94314214318774,194.8515005343549,17,1620.6541559445616,13,4,14,423.13083118891234,0,w5pro,edge_cluster,18
13,8636.081388,1,1,iid,0,1007.0,7629.0813880000005,0,dir,500.0,500.0,15,270.27706194348247,10,5,15,144.05541238869648,0,w5pro,edge_cluster,16
14,5809.050541,1,5,iid,0,1303.0,4506.050541,0,omni,445.62979815711435,172.6693866103639,18,1037.5269186509995,12,6,14,311.5053837301999,0,w5pro,edge_cluster,19
16,7832.52029,1,1,iid,0,409.0,7423.52029,0,dir,473.01834329824146,473.01834329824146,17,213.1618428412114,13,4,17,144.63236856824227,0,w5pro,edge_cluster,18
18,6634.67933,1,0,iid,0,5570.545157,1064.1341730000004,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,1
20,6911.884513,1,0,iid,0,4688.534953,2223.3495599999997,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,2
1,5131.37979,1,3,biased,0,633.0,4498.37979,0,dir,132.58045991040424,77.34189880172677,16,232.02569640518033,12,4,13,139.40513928103607,0,w5pro,edge_cluster,17
2,6139.503468,1,17,biased,0,5055.799347,1083.7041209999998,0,dir,454.09753511036297,86.80542966998553,17,943.2716501914052,13,4,0,273.65433003828105,0,w5pro,edge_cluster,18
3,8596.838666,1,0,biased,0,2805.852547,5790.986118999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,2
4,9020.375264,1,2,biased,0,2811.852547,6208.522717,0,dir,500.0,265.3693932672442,2,602.1538228602163,0,2,2,132.43076457204327,0,w5pro,edge_cluster,3
5,8420.268054,1,13,biased,1,2817.852547,5602.415507,0,dir,266.73049377497495,46.621256219690146,14,544.4671931200817,9,5,0,178.89343862401634,0,w5pro,edge_cluster,17
6,1715.645272,1,0,biased,0,971.0,744.645272,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,2
7,6750.116062,1,11,biased,0,355.0,6395.116062,0,dir,425.8625790189301,83.61547915744822,19,555.0777226108803,14,5,9,215.01554452217607,0,w5pro,edge_cluster,20
8,7954.399473,1,0,biased,0,3113.852547,4840.546926000001,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,1
9,5397.053362,1,5,biased,0,983.0,4414.053362,0,dir,500.0,199.8308880516841,11,997.073806967971,6,5,8,262.4147613935942,0,w5pro,edge_cluster,12
10,5597.024525,1,9,biased,0,989.0,4608.024525,0,dir,500.0,225.65842723080812,15,672.3748109518361,10,5,8,217.47496219036722,0,w5pro,edge_cluster,16
12,4420.672669,1,1,biased,0,1297.0,3123.6726689999996,0,dir,447.14582664777424,447.14582664777424,6,919.0226850898495,3,3,6,219.8045370179699,0,w5pro,edge_cluster,7
13,4775.265136,1,1,biased,0,1007.0,3768.265136,0,dir,406.57606680323613,406.57606680323613,7,1326.1175554799534,4,3,7,307.22351109599066,0,w5pro,edge_cluster,8
14,4139.512371,1,4,biased,0,1303.0,2836.512371,0,omni,257.20242083196746,118.9479014450244,9,1098.2481018304436,2,7,6,270.6496203660887,0,w5pro,edge_cluster,10
16,6891.909597,1,8,biased,0,409.0,6482.909597,0,dir,415.26820662387263,108.70198116975425,16,2201.433006694999,11,5,10,530.2866013389998,0,w5pro,edge_cluster,17
18,9294.598839,1,21,biased,0,2847.852547,6446.746292,0,dir,500.0,119.99469412141868,21,852.4622719347972,16,5,2,277.4924543869594,0,w5pro,edge_cluster,23
20,8644.692377,1,0,biased,0,2407.842343,6236.850033999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,3
1,8368.329193,1,1,adversarial,0,633.0,7735.329193,0,dir,500.0,500.0,16,232.30404000530743,12,4,16,142.46080800106148,0,w5pro,edge_cluster,17
2,8170.419119,1,1,adversarial,0,2354.786229,5815.632890000001,0,dir,172.36102117833056,172.36102117833056,8,1870.2421748365755,7,1,8,422.0484349673151,0,w5pro,edge_cluster,11
3,9700.030633,1,0,adversarial,0,4942.816841,4757.2137920000005,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,1
4,6669.552989,1,1,adversarial,0,5546.827045,1122.7259439999998,0,dir,500.0,500.0,1,243.6338427577079,0,1,1,54.72676855154158,0,w5pro,edge_cluster,3
5,9874.648195,1,0,adversarial,0,4954.816841,4919.831354,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,2
6,1849.886617,1,0,adversarial,0,971.0,878.8866169999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,3
7,7611.343236,1,1,adversarial,0,355.0,7256.343236,0,dir,500.0,500.0,17,1021.9891600358293,13,4,17,306.39783200716585,0,w5pro,edge_cluster,18
8,7215.901712,1,5,adversarial,0,4652.816841,2563.084871,0,dir,427.55173207329534,154.17381079697904,5,1593.8388726775556,0,5,1,344.76777453551114,0,w5pro,edge_cluster,6
9,8899.908347,1,2,adversarial,0,983.0,7916.9083470000005,0,dir,437.87541162314074,328.4001228627459,16,766.1147834714523,13,3,15,248.22295669429045,0,w5pro,edge_cluster,17
10,8448.040705,1,1,adversarial,0,989.0,7459.040704999999,0,dir,58.794198342009985,58.794198342009985,15,284.76054354245906,11,4,15,146.9521087084918,0,w5pro,edge_cluster,16
12,6139.11874,1,3,adversarial,0,1297.0,4842.11874,0,dir,415.54825415093546,233.43228567709556,16,1550.389054701888,13,3,14,404.0778109403776,0,w5pro,edge_cluster,17
13,8692.229966,1,1,adversarial,0,1007.0,7685.229966000001,0,dir,500.0,500.0,15,597.6532334112552,10,5,15,209.53064668225105,0,w5pro,edge_cluster,16
14,5790.150265,1,1,adversarial,0,1303.0,4487.150265,0,omni,449.61266909338525,449.61266909338525,14,625.5735421899724,12,2,14,209.11470843799447,0,w5pro,edge_cluster,15
16,7759.841982,1,1,adversarial,0,409.0,7350.841982,0,dir,465.058796270043,465.058796270043,17,222.4379744351939,13,4,17,146.48759488703877,0,w5pro,edge_cluster,18
18,6606.52796,1,0,adversarial,0,5570.827045,1035.7009150000004,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,1
20,6861.81069,1,0,adversarial,0,4688.816841,2172.9938490000004,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,2
1,4732.19684,1,5,piecewise,0,633.0,4099.19684,0,dir,500.0,240.32016764516794,20,1201.6008382258399,14,6,15,355.320167645168,0,w5pro,edge_cluster,21
2,9686.798373,1,2,piecewise,0,4455.876671,5230.921702,0,dir,317.30666890599645,236.38594238235459,2,1198.0094291509597,0,2,0,249.60188583019195,0,w5pro,edge_cluster,4
3,8198.762273,1,0,piecewise,0,2805.846059,5392.916214000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,4
4,7171.183206,1,21,piecewise,0,2811.846059,4359.337147,0,dir,500.0,133.8437159348856,21,859.2575919975931,18,3,3,279.8515183995186,0,w5pro,edge_cluster,22
5,8000.829764,1,13,piecewise,1,2817.846059,5182.983705000001,0,dir,260.8152942743945,45.98473776738838,14,533.8430267556134,9,5,0,176.7686053511227,0,w5pro,edge_cluster,16
6,1715.614493,1,0,piecewise,0,971.0,744.614493,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,2
7,9120.533577,1,11,piecewise,0,355.0,8765.533577,0,dir,424.56882883020876,83.78369265642154,19,2495.7775899823105,14,5,10,604.1555179964621,0,w5pro,edge_cluster,20
8,10498.573136,1,0,piecewise,0,3113.846059,7384.727077000001,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,edge_cluster,1
9,4997.913717,1,5,piecewise,0,983.0,4014.9137170000004,0,dir,500.0,199.8065237147333,11,997.2179398644967,6,5,8,262.4435879728993,0,w5pro,edge_cluster,12
10,5198.002318,1,9,piecewise,0,989.0,4209.002318,0,dir,500.0,225.64204306592345,15,672.8414525078091,10,5,8,217.56829050156182,0,w5pro,edge_cluster,16
12,6291.342431,1,1,piecewise,0,1297.0,4994.342431,0,dir,442.1900963981708,442.1900963981708,6,2268.568766174913,3,3,6,489.7137532349826,0,w5pro,edge_cluster,7
13,5667.869982,1,1,piecewise,0,1007.0,4660.869982,0,dir,406.56232651541075,406.56232651541075,7,1370.7915909580056,4,3,7,316.1583181916011,0,w5pro,edge_cluster,8
14,6670.897175,1,4,piecewise,0,1303.0,5367.897175,0,omni,253.63816252671646,118.22941489782328,9,1767.773715587094,2,7,6,404.5547431174188,0,w5pro,edge_cluster,10
16,8965.344901,1,8,piecewise,0,409.0,8556.344901,0,dir,415.49650834075476,108.67445944987716,16,540.5681515309926,11,5,9,197.11363030619853,0,w5pro,edge_cluster,17
