channel,clear_time_s,cleared,coarse_probe_count,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,8299.893835,1,6,0,662.38152,7637.512315000001,0,dir,416.0343208965672,254.52250454375394,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
2,8561.570225,1,1,0,11.0,8550.570225,0,dir,482.00890869526165,482.00890869526165,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
3,3807.108397,1,0,0,3070.092293,737.0161039999998,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
4,1203.151575,1,0,0,674.38152,528.7700550000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
5,6649.999149,1,1,0,29.0,6620.999149,0,dir,449.93849007024414,449.93849007024414,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
6,6215.755301,1,1,0,976.38152,5239.373781,0,omni,332.04542953230236,332.04542953230236,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
7,4739.784044,1,0,0,4195.789093,543.9949509999997,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
9,9369.707952,1,1,0,4207.789093,5161.918859,0,dir,435.0095427511176,435.0095427511176,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
10,6837.476754,1,1,0,3094.092293,3743.384461,0,dir,380.2134938436815,380.2134938436815,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
13,8837.357851,1,2,0,379.0,8458.357851,0,dir,391.87614784140476,292.45595256115837,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
14,3938.847106,1,1,0,1018.38152,2920.4655860000003,0,dir,277.2592047891939,277.2592047891939,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
16,5928.450518,1,1,0,2514.092293,3414.3582249999995,0,omni,176.66783717521992,176.66783717521992,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
17,554.014078,1,0,0,101.0,453.01407800000004,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
19,5846.440174,1,1,0,2526.092293,3320.347881,0,dir,91.56960447223365,91.56960447223365,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
