channel,clear_time_s,cleared,coarse_probe_count,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,5837.013569,1,5,0,1141.31816,4695.695409,0,dir,500.0,262.0773773934332,0,0.0,0,0,0,0.0,0,w5pro,random,0
2,7277.049762,1,1,0,325.0,6952.049762,0,omni,483.04677825696564,483.04677825696564,0,0.0,0,0,0,0.0,0,w5pro,random,0
3,7580.080604,1,2,0,331.0,7249.080604,0,omni,500.0,425.80377943717076,0,0.0,0,0,0,0.0,0,w5pro,random,0
4,4604.857428,1,0,0,3946.741233,658.1161950000001,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
5,971.209571,1,0,0,29.0,942.209571,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
6,8561.634324,1,1,0,703.48042,7858.153904000001,0,dir,175.38630227757085,175.38630227757085,0,0.0,0,0,0,0.0,0,w5pro,random,0
7,6489.550918,1,13,1,2124.710621,4364.840297,0,dir,327.5077659653113,53.21952031457893,0,0.0,0,0,0,0.0,0,w5pro,random,0
8,5403.595168,1,5,0,3536.731029,1866.8641389999998,0,dir,422.5606277819932,162.05318908300927,0,0.0,0,0,0,0.0,0,w5pro,random,0
9,6835.444293,1,3,0,2546.720825,4288.723468,0,dir,500.0,388.0893990657759,0,0.0,0,0,0,0.0,0,w5pro,random,0
10,9073.278761,1,7,0,5024.585238,4048.693523,0,dir,209.44075129354013,64.51580257928723,0,0.0,0,0,0,0.0,0,w5pro,random,0
12,520.676385,1,0,0,71.0,449.676385,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
13,8460.159489,1,1,0,739.48042,7720.679069,0,dir,481.9595237756425,481.9595237756425,0,0.0,0,0,0,0.0,0,w5pro,random,0
14,5205.825242,1,1,0,3964.741233,1241.0840089999997,0,dir,283.3816977605629,283.3816977605629,0,0.0,0,0,0,0.0,0,w5pro,random,0
16,1715.967082,1,0,0,1195.31816,520.6489219999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
18,619.863842,1,0,0,107.0,512.863842,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
20,6159.296174,1,5,0,119.0,6040.296174,0,dir,500.0,210.89838296431816,0,0.0,0,0,0,0.0,0,w5pro,random,0
1,8299.893835,1,6,0,662.38152,7637.512315000001,0,dir,416.0343208965672,254.52250454375394,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
2,8561.570225,1,1,0,11.0,8550.570225,0,dir,482.00890869526165,482.00890869526165,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
3,3807.108397,1,0,0,3070.092293,737.0161039999998,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
4,1203.151575,1,0,0,674.38152,528.7700550000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
5,6649.999149,1,1,0,29.0,6620.999149,0,dir,449.93849007024414,449.93849007024414,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
6,6215.755301,1,1,0,976.38152,5239.373781,0,omni,332.04542953230236,332.04542953230236,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
7,4739.784044,1,0,0,4195.789093,543.9949509999997,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
9,9369.707952,1,1,0,4207.789093,5161.918859,0,dir,435.0095427511176,435.0095427511176,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
10,6837.476754,1,1,0,3094.092293,3743.384461,0,dir,380.2134938436815,380.2134938436815,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
13,8837.357851,1,2,0,379.0,8458.357851,0,dir,391.87614784140476,292.45595256115837,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
14,3938.847106,1,1,0,1018.38152,2920.4655860000003,0,dir,277.2592047891939,277.2592047891939,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
16,5928.450518,1,1,0,2514.092293,3414.3582249999995,0,omni,176.66783717521992,176.66783717521992,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
17,554.014078,1,0,0,101.0,453.01407800000004,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
19,5846.440174,1,1,0,2526.092293,3320.347881,0,dir,91.56960447223365,91.56960447223365,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
1,7413.875586,1,1,0,319.0,7094.875586,0,dir,170.08928461613013,170.08928461613013,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,0
2,9181.58449,1,1,0,2973.017784,6208.566706,0,omni,421.7828533068423,421.7828533068423,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,0
3,8001.034641,1,1,0,17.0,7984.034641,0,omni,461.53659202825463,461.53659202825463,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,0
4,1486.288724,1,0,0,953.0,533.288724,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,0
5,8271.600514,1,1,0,959.0,7312.600514,0,omni,141.8004771354306,141.8004771354306,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,0
8,9833.560406,1,1,0,355.0,9478.560406,0,dir,307.8976029941174,307.8976029941174,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,0
9,7758.784729,1,1,0,53.0,7705.784729,0,dir,268.34179783060773,268.34179783060773,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,0
14,9374.334072,1,1,0,4529.038192,4845.29588,0,dir,374.2413032647089,374.2413032647089,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,0
16,6799.615607,1,1,0,699.0,6100.615607,0,dir,221.3892667710266,221.3892667710266,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,0
