channel,clear_time_s,cleared,coarse_probe_count,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,4425.127589,1,4,0,1930.14769,2494.979899,0,dir,500.0,450.9561224731656,0,0.0,0,0,0,0.0,0,w5pro,random,0
2,7144.966405,1,5,0,4173.597507,2971.3688979999997,0,omni,500.0,200.38814101538173,0,0.0,0,0,0,0.0,0,w5pro,random,0
3,6840.028941,1,3,0,4775.916664,2064.1122769999993,0,omni,500.0,353.1198555125213,0,0.0,0,0,0,0.0,0,w5pro,random,0
4,6313.067757,1,8,0,5804.28971,508.7780469999998,0,dir,500.0,328.125,0,0.0,0,0,0,0.0,0,w5pro,random,0
5,4878.753122,1,2,0,29.0,4849.753122,0,omni,415.6112658256743,317.04379137963946,0,0.0,0,0,0,0.0,0,w5pro,random,0
6,5495.659785,1,1,0,402.0,5093.659785,0,dir,430.12630353086917,430.12630353086917,0,0.0,0,0,0,0.0,0,w5pro,random,0
7,7643.34352,1,13,1,3357.075395,4286.2681250000005,0,dir,327.5077659653113,53.21952031457893,0,0.0,0,0,0,0.0,0,w5pro,random,0
8,1602.044584,1,1,0,1015.011278,587.033306,0,dir,129.7593636047381,129.7593636047381,0,0.0,0,0,0,0.0,0,w5pro,random,0
9,3214.340363,1,5,0,1972.14769,1242.1926729999998,0,dir,500.0,210.54954412654587,0,0.0,0,0,0,0.0,0,w5pro,random,0
10,2183.641156,1,19,1,685.0,1498.6411560000001,0,dir,473.3268431106661,70.9816023163439,0,0.0,0,0,0,0.0,0,w5pro,random,0
12,5013.970727,1,2,0,71.0,4942.970727,0,omni,500.0,357.5793370198195,0,0.0,0,0,0,0.0,0,w5pro,random,0
13,6047.874542,1,0,0,5222.762572,825.1119699999999,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
14,860.199274,1,0,0,354.0,506.19927399999995,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
16,7385.034224,1,1,0,3327.075395,4057.958829,0,omni,227.95150736415772,227.95150736415772,0,0.0,0,0,0,0.0,0,w5pro,random,0
18,5330.749296,1,2,0,107.0,5223.749296,0,omni,400.98070341799854,286.60609098866195,0,0.0,0,0,0,0.0,0,w5pro,random,0
20,4304.347181,1,1,0,119.0,4185.347181,0,dir,500.0,500.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
1,7508.6341,1,6,0,6492.988827,1015.6452730000001,0,dir,416.0343208965672,254.52250454375394,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
2,6292.780468,1,3,0,11.0,6281.780468,0,dir,482.1053341430278,281.3023813009649,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
3,3330.739124,1,1,0,977.272819,2353.466305,0,dir,433.7209831937247,433.7209831937247,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
4,6706.025781,1,1,0,4104.535519,2601.4902620000003,0,omni,409.81778528467373,409.81778528467373,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
5,4371.089461,1,1,0,29.0,4342.089461,0,dir,449.93849007024414,449.93849007024414,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
6,3921.242223,1,2,0,349.0,3572.242223,0,omni,500.0,404.4259932333864,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
7,2525.426145,1,0,0,1945.044515,580.3816299999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
9,2791.282666,1,1,0,2366.054719,425.22794699999986,0,dir,91.16282639636741,91.16282639636741,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
10,4531.806271,1,1,0,2673.422654,1858.3836170000004,0,dir,384.8093209091556,384.8093209091556,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
13,5967.002983,1,7,0,5229.278641,737.7243420000004,0,dir,500.0,372.94097465649,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
14,4291.256857,1,1,0,397.0,3894.2568570000003,0,dir,414.32534393338506,414.32534393338506,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
16,1318.931435,1,0,0,409.0,909.931435,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
17,6385.265475,1,1,0,101.0,6284.265475,0,omni,297.64974553722,297.64974553722,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
19,1092.815466,1,0,0,427.0,665.815466,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
