avg_time_per_source_s,certificate_summary_count,channel_switch_count,channel_switch_time_s,clear_fail,clear_success,clear_time_s,cleared,coarse_failures,coarse_successes,completed_search_points,corridor_opportunity_count,deferred_targets,dir_count,discovered_but_not_cleared,error,error_field,event_corridor_opportunity,event_information_ridge,event_information_ridge_selected,event_intersection_attempt,event_intersection_selected,event_nbv_selected,event_no_progress_guard,event_outcome_probabilities,event_route_choice,event_route_repair,event_scan_continue,event_scan_observe,event_spatial_bundle,event_spatial_service,event_tail_fallback,exit_state_count,fallback_rate,fallback_targets,information_ridge_selected_count,intersection_attempts,intersection_selected_count,legacy_backbone_fallback_count,local_reacquisition_measure_count,local_reacquisition_move_m,local_reacquisition_switch_count,local_reacquisition_time_s,measure_count,measure_time_s,mec_checks,move_distance_m,move_time_s,n,nbv_effective_count,nbv_selected_count,near_count,never_discovered,no_progress_guard_count,no_signal_after_found,non_reacquisition_time_s,number_cleared,number_discovered,omni_count,outcome_probability_count,policy_runtime_s,problem,reacquisition_attempts,reacquisition_successes,remaining_search_points,route_repair_count,seed,source_count,spatial_stop_selected_count,success,suite,switch_count,switch_time_s,tail_fallback_event_count,tail_rescue_count,targets_remaining_at_exit,termination_reason,time_component_delta_s,total,total_time_s,version,w2_fallback_count,w3_coarse_fallback_count,wait_for_route_success_count
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,10,4,,smooth,0,8,1,0,0,0,0,0,1,1,26,20,0,0,16,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,12,0,0,119.0,0,4,6,0,17.988012799993157,4,0,0,24,1,0,16,0,0,random,19,19.0,16,0,4,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,10,4,,iid,0,8,1,0,0,0,0,0,1,1,26,20,0,0,16,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,12,0,0,119.0,0,4,6,0,17.30601659999229,4,0,0,24,1,0,16,0,0,random,19,19.0,16,0,4,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,10,4,,biased,0,8,1,0,0,0,0,0,1,1,26,20,0,0,16,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,12,0,0,119.0,0,4,6,0,13.653428999998141,4,0,0,24,1,0,16,0,0,random,19,19.0,16,0,4,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,10,4,,adversarial,0,8,1,0,0,0,0,0,1,1,26,20,0,0,16,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,12,0,0,119.0,0,4,6,0,13.970446199993603,4,0,0,24,1,0,16,0,0,random,19,19.0,16,0,4,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,10,4,,piecewise,0,8,1,0,0,0,0,0,1,1,26,20,0,0,16,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,12,0,0,119.0,0,4,6,0,19.980885099997977,4,0,0,24,1,0,16,0,0,random,19,19.0,16,0,4,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,0,,smooth,0,8,1,0,0,0,0,0,1,1,26,20,0,0,20,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,16,0,0,119.0,0,0,4,0,18.606606999994256,4,0,0,24,1,0,16,0,0,edge_cluster,19,19.0,20,0,0,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,0,,iid,0,8,1,0,0,0,0,0,1,1,26,20,0,0,20,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,16,0,0,119.0,0,0,4,0,12.12379769999825,4,0,0,24,1,0,16,0,0,edge_cluster,19,19.0,20,0,0,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,0,,biased,0,8,1,0,0,0,0,0,1,1,26,20,0,0,20,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,16,0,0,119.0,0,0,4,0,13.072149799991166,4,0,0,24,1,0,16,0,0,edge_cluster,19,19.0,20,0,0,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,0,,adversarial,0,8,1,0,0,0,0,0,1,1,26,20,0,0,20,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,16,0,0,119.0,0,0,4,0,14.975129600003129,4,0,0,24,1,0,16,0,0,edge_cluster,19,19.0,20,0,0,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,0,,piecewise,0,8,1,0,0,0,0,0,1,1,26,20,0,0,20,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,16,0,0,119.0,0,0,4,0,13.029112499993062,4,0,0,24,1,0,16,0,0,edge_cluster,19,19.0,20,0,0,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,4,,smooth,0,8,1,0,0,0,0,0,1,1,26,20,0,0,16,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,12,0,0,119.0,0,4,4,0,19.79242030000023,4,0,0,24,1,0,16,0,0,min_reff,19,19.0,16,0,4,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,4,,iid,0,8,1,0,0,0,0,0,1,1,26,20,0,0,16,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,12,0,0,119.0,0,4,4,0,14.193271800002549,4,0,0,24,1,0,16,0,0,min_reff,19,19.0,16,0,4,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,4,,biased,0,8,1,0,0,0,0,0,1,1,26,20,0,0,16,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,12,0,0,119.0,0,4,4,0,15.782404700003099,4,0,0,24,1,0,16,0,0,min_reff,19,19.0,16,0,4,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,4,,adversarial,0,8,1,0,0,0,0,0,1,1,26,20,0,0,16,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,12,0,0,119.0,0,4,4,0,22.471384100004798,4,0,0,24,1,0,16,0,0,min_reff,19,19.0,16,0,4,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,4,,piecewise,0,8,1,0,0,0,0,0,1,1,26,20,0,0,16,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,12,0,0,119.0,0,4,4,0,13.779698999991524,4,0,0,24,1,0,16,0,0,min_reff,19,19.0,16,0,4,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,1,,smooth,0,8,1,0,0,0,0,0,1,1,26,20,0,0,19,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,15,0,0,119.0,0,1,4,0,16.04171150000184,4,0,0,24,1,0,16,0,0,tiny_cluster,19,19.0,19,0,1,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,1,,iid,0,8,1,0,0,0,0,0,1,1,26,20,0,0,19,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,15,0,0,119.0,0,1,4,0,16.52220849999867,4,0,0,24,1,0,16,0,0,tiny_cluster,19,19.0,19,0,1,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,1,,biased,0,8,1,0,0,0,0,0,1,1,26,20,0,0,19,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,15,0,0,119.0,0,1,4,0,18.618719899997814,4,0,0,24,1,0,16,0,0,tiny_cluster,19,19.0,19,0,1,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,1,,adversarial,0,8,1,0,0,0,0,0,1,1,26,20,0,0,19,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,15,0,0,119.0,0,1,4,0,12.236345600002096,4,0,0,24,1,0,16,0,0,tiny_cluster,19,19.0,19,0,1,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,1,,piecewise,0,8,1,0,0,0,0,0,1,1,26,20,0,0,19,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,15,0,0,119.0,0,1,4,0,13.32146219999413,4,0,0,24,1,0,16,0,0,tiny_cluster,19,19.0,19,0,1,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,5,,smooth,0,8,1,0,0,0,0,0,1,1,26,20,0,0,15,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,11,0,0,119.0,0,5,4,0,21.26851219999662,4,0,0,24,1,0,16,0,0,collinear,19,19.0,15,0,5,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,5,,iid,0,8,1,0,0,0,0,0,1,1,26,20,0,0,15,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,11,0,0,119.0,0,5,4,0,13.167010000004666,4,0,0,24,1,0,16,0,0,collinear,19,19.0,15,0,5,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,5,,biased,0,8,1,0,0,0,0,0,1,1,26,20,0,0,15,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,11,0,0,119.0,0,5,4,0,13.962583399988944,4,0,0,24,1,0,16,0,0,collinear,19,19.0,15,0,5,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,5,,adversarial,0,8,1,0,0,0,0,0,1,1,26,20,0,0,15,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,11,0,0,119.0,0,5,4,0,13.271162000004551,4,0,0,24,1,0,16,0,0,collinear,19,19.0,15,0,5,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,5,,piecewise,0,8,1,0,0,0,0,0,1,1,26,20,0,0,15,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,11,0,0,119.0,0,5,4,0,15.849704500011285,4,0,0,24,1,0,16,0,0,collinear,19,19.0,15,0,5,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
7.4375,1,19,19.0,0,0,0.0,0,0,0,1,0,0,12,6,,smooth,0,8,1,0,0,0,0,0,1,1,26,20,0,0,14,1,0.0,0,1,0,0,0,0,0.0,0,0.0,20,100.0,0,0.0,0.0,27,0,0,0,10,0,0,119.0,0,6,4,0,13.991384299995843,4,0,0,24,1,0,16,0,0,far_pair,19,19.0,14,0,6,max_macro_steps,0.0,16,119.0,w5pro,0,0,0
