channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
5,,0,0,smooth,0,29.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
12,,0,0,smooth,0,71.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
18,,0,0,smooth,0,107.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
20,,0,0,smooth,0,119.0,,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
5,,0,0,iid,0,29.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
12,,0,0,iid,0,71.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
18,,0,0,iid,0,107.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
20,,0,0,iid,0,119.0,,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
5,,0,0,biased,0,29.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
12,,0,0,biased,0,71.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
18,,0,0,biased,0,107.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
20,,0,0,biased,0,119.0,,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
5,,0,0,adversarial,0,29.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
12,,0,0,adversarial,0,71.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
18,,0,0,adversarial,0,107.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
20,,0,0,adversarial,0,119.0,,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
5,,0,0,piecewise,0,29.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
12,,0,0,piecewise,0,71.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
18,,0,0,piecewise,0,107.0,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
20,,0,0,piecewise,0,119.0,,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
