channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,4953.572608,1,1,smooth,0,5.0,4948.572608,0,dir,321.86622062879616,321.86622062879616,14,785.0082700793888,13,1,14,241.00165401587776,0,w5pro,min_reff,16
2,553.350145,1,0,smooth,0,11.0,542.350145,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,min_reff,1
3,6173.880662,1,7,smooth,0,2554.368523,3619.5121389999995,0,dir,301.7680987986998,82.23312461591438,8,1224.8615473316104,4,4,2,286.9723094663221,0,w5pro,min_reff,10
4,5360.991399,1,13,smooth,1,1854.358319,3506.6330799999996,0,dir,282.9059183252426,45.51010279434642,18,1657.0939604544496,13,5,5,426.41879209088995,0,w5pro,min_reff,20
5,6894.652966,1,16,smooth,0,3071.239242,3823.4137239999995,0,dir,500.0,228.515625,16,1992.0856363622877,12,4,1,479.41712727245755,0,w5pro,min_reff,17
6,1235.986304,1,0,smooth,0,337.0,898.986304,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,min_reff,2
7,7717.708978,1,0,smooth,0,3705.249446,4012.459532,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,min_reff,1
8,4725.356681,1,18,smooth,0,349.0,4376.356681,0,dir,500.0,120.39329704963413,28,1840.4851552304367,25,3,11,519.0970310460873,0,w5pro,min_reff,29
9,723.6461,1,0,smooth,0,53.0,670.6461,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,min_reff,1
10,742.400284,1,0,smooth,0,59.0,683.400284,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,min_reff,1
12,7851.646728,1,0,smooth,0,3367.239242,4484.407486,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,min_reff,1
13,6410.23584,1,3,smooth,0,2584.368523,3825.867317,0,dir,339.6758365940199,190.49278550599044,4,699.0747293472037,1,3,2,161.81494586944075,0,w5pro,min_reff,6
14,2702.588322,1,0,smooth,0,2300.368523,402.21979899999997,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,min_reff,1
16,7365.884548,1,25,smooth,1,2596.368523,4769.516025,0,dir,500.0,146.22596153846155,27,2048.8590721825735,22,5,3,547.7718144365147,0,w5pro,min_reff,29
18,5884.250658,1,24,smooth,1,2324.368523,3559.882135,0,dir,500.0,142.3875,28,1961.2962984935866,24,4,4,536.2592596987173,0,w5pro,min_reff,29
20,8623.686719,1,25,smooth,1,4255.25965,4368.427068999999,0,dir,500.0,139.6153846153846,26,1527.3120740667455,21,5,0,435.4624148133491,0,w5pro,min_reff,27
1,6542.015441,1,24,iid,1,5.0,6537.015441,0,dir,500.0,136.7625,41,1235.9623900464155,37,4,17,469.1924780092831,0,w5pro,min_reff,42
2,7130.957607,1,19,iid,0,11.0,7119.957607,0,dir,500.0,177.5763382504347,31,1951.2442647866696,27,4,14,559.248852957334,0,w5pro,min_reff,32
3,4111.606402,1,1,iid,0,2709.383127,1402.2232750000003,0,dir,269.6143370585514,269.6143370585514,4,127.33240880634034,1,3,4,49.46648176126807,0,w5pro,min_reff,5
4,8835.434069,1,24,iid,1,5855.274026,2980.1600430000008,0,dir,500.0,132.82061085300828,25,1505.4452256003722,21,4,0,426.08904512007445,0,w5pro,min_reff,26
5,2599.647325,1,0,iid,0,2019.239474,580.4078509999999,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,min_reff,1
6,9880.497299,1,4,iid,0,5105.263822,4775.233477000001,0,dir,427.4601338706315,195.30990989285152,4,740.0438631490296,0,4,0,168.00877262980592,0,w5pro,min_reff,6
7,934.957652,1,0,iid,0,343.0,591.957652,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,min_reff,1
8,6865.936983,1,2,iid,0,657.0,6208.936983,0,dir,500.0,386.52677332012854,12,397.6858210704167,10,2,11,150.53716421408333,0,w5pro,min_reff,13
9,8314.246459,1,1,iid,0,53.0,8261.246459,0,omni,448.3998136547987,448.3998136547987,13,2135.51077581489,11,2,13,505.102155162978,0,w5pro,min_reff,14
10,6163.822963,1,1,iid,0,59.0,6104.822963,0,omni,435.1420632686279,435.1420632686279,13,1034.8531187807907,11,2,13,284.97062375615815,0,w5pro,min_reff,14
12,7788.480707,1,1,iid,0,361.0,7427.480707,0,omni,457.74208382845814,457.74208382845814,12,1601.1226566865494,6,6,12,392.2245313373099,0,w5pro,min_reff,13
13,4400.322204,1,11,iid,0,3331.383127,1068.939077,0,dir,331.27322588351234,66.28285149027853,11,759.6398365020019,6,5,1,207.92796730040038,0,w5pro,min_reff,13
14,4024.466565,1,0,iid,0,3337.383127,687.0834380000001,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,min_reff,2
16,4791.927783,1,21,iid,0,3349.383127,1442.544656,0,dir,500.0,132.1267401708887,21,1776.9670744460066,15,6,2,462.3934148892013,0,w5pro,min_reff,23
18,9217.618864,1,9,iid,0,3783.393331,5434.225533,0,dir,500.0,78.43570602151715,9,732.0235615220539,6,3,1,192.4047123044108,0,w5pro,min_reff,10
20,7366.778555,1,6,iid,0,711.0,6655.778555,0,dir,471.4999003478071,98.43185460140602,16,999.1047411008776,13,3,11,290.8209482201755,0,w5pro,min_reff,17
1,4926.853224,1,1,biased,0,5.0,4921.853224,0,dir,316.30178904818064,316.30178904818064,14,784.9713222308261,13,1,14,240.99426444616523,0,w5pro,min_reff,16
2,554.773683,1,0,biased,0,11.0,543.773683,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,min_reff,1
3,5911.286654,1,1,biased,0,2553.636684,3357.6499700000004,0,dir,457.01307519620883,457.01307519620883,3,1150.8092003436327,1,2,3,248.16184006872655,0,w5pro,min_reff,5
4,5269.676838,1,3,biased,0,1853.62648,3416.0503580000004,0,dir,280.3966787719246,161.6781633551221,8,1609.1180702241443,5,3,6,367.82361404482884,0,w5pro,min_reff,10
5,3547.64598,1,0,biased,0,3066.663106,480.9828739999998,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,min_reff,1
