suite,error_field,seed,w5_clear,w5pro_clear,w5_time_s,w5pro_time_s,delta_time_s
collinear,smooth,10000,1,0,7670.609174,0.0,-7670.609174
collinear,smooth,10000,1,0,7670.609174,0.0,-7670.609174
collinear,smooth,10001,1,0,7557.831453,0.0,-7557.831453
collinear,smooth,10001,1,0,7557.831453,0.0,-7557.831453
min_reff,smooth,10000,1,0,8970.720791,0.0,-8970.720791
min_reff,smooth,10000,1,0,8970.720791,0.0,-8970.720791
min_reff,smooth,10001,1,0,7617.93821,0.0,-7617.93821
min_reff,smooth,10001,1,0,7617.93821,0.0,-7617.93821
random,smooth,0,1,0,7643.34352,0.0,-7643.34352
random,smooth,0,1,0,7643.34352,0.0,-7643.34352
random,smooth,1,1,0,7393.196555,0.0,-7393.196555
random,smooth,1,1,0,7393.196555,0.0,-7393.196555
random,smooth,2,1,0,5303.336748,0.0,-5303.336748
random,smooth,2,1,0,5303.336748,0.0,-5303.336748
