channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,4425.127589,1,4,smooth,0,1930.14769,2494.979899,0,dir,500.0,450.9561224731656,9,2277.3484197523403,1,8,8,508.46968395046804,0,w5,random,10
2,7144.966405,1,5,smooth,0,4173.597507,2971.3688979999997,0,omni,500.0,200.38814101538173,6,1353.60255210235,1,5,2,302.72051042047,0,w5,random,8
3,6840.028941,1,3,smooth,0,4775.916664,2064.1122769999993,0,omni,500.0,353.1198555125213,3,2364.6572406109754,0,3,1,488.9314481221951,0,w5,random,5
4,6313.067757,1,8,smooth,0,5804.28971,508.7780469999998,0,dir,500.0,328.125,8,1100.9660778329617,6,2,0,260.19321556659236,0,w5,random,9
5,4878.753122,1,2,smooth,0,29.0,4849.753122,0,omni,415.6112658256743,317.04379137963946,13,896.0719620997871,8,5,13,257.21439241995745,0,w5,random,15
6,5495.659785,1,1,smooth,0,402.0,5093.659785,0,dir,430.12630353086917,430.12630353086917,13,347.7693118360694,11,2,13,147.55386236721387,0,w5,random,14
7,7643.34352,1,13,smooth,1,3357.075395,4286.2681250000005,0,dir,327.5077659653113,53.21952031457893,18,1784.7002593150382,13,5,5,451.9400518630076,0,w5,random,20
8,1602.044584,1,1,smooth,0,1015.011278,587.033306,0,dir,129.7593636047381,129.7593636047381,1,186.92328680545972,0,1,1,43.384657361091946,0,w5,random,4
9,3214.340363,1,5,smooth,0,1972.14769,1242.1926729999998,0,dir,500.0,210.54954412654587,6,1288.9262009007718,0,6,3,290.78524018015435,0,w5,random,8
10,2183.641156,1,19,smooth,1,685.0,1498.6411560000001,0,dir,473.3268431106661,70.9816023163439,23,1467.89844991578,18,5,5,413.579689983156,0,w5,random,24
12,5013.970727,1,2,smooth,0,71.0,4942.970727,0,omni,500.0,357.5793370198195,14,548.843578599984,10,4,14,193.7687157199968,0,w5,random,15
13,6047.874542,1,0,smooth,0,5222.762572,825.1119699999999,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5,random,2
14,860.199274,1,0,smooth,0,354.0,506.19927399999995,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5,random,1
16,7385.034224,1,1,smooth,0,3327.075395,4057.958829,0,omni,227.95150736415772,227.95150736415772,3,932.5011871748052,2,1,3,204.50023743496104,0,w5,random,6
18,5330.749296,1,2,smooth,0,107.0,5223.749296,0,omni,400.98070341799854,286.60609098866195,14,374.50621784396577,10,4,14,158.90124356879315,0,w5,random,16
20,4304.347181,1,1,smooth,0,119.0,4185.347181,0,dir,500.0,500.0,12,2661.383078174143,8,4,11,603.2766156348287,0,w5,random,13
3,4813.537422,1,5,smooth,0,1036.720975,3776.816447,0,omni,443.0509825344722,171.51247625606177,18,809.9935133431921,11,7,15,266.99870266863843,1,w5,random,19
4,1256.04192,1,2,smooth,0,23.0,1233.04192,0,omni,399.87914743780345,349.44535527250173,4,698.8907105450035,0,4,4,163.7781421090007,1,w5,random,5
7,7393.196555,1,21,smooth,0,2522.357863,4870.838692,0,dir,500.0,148.4375,35,1988.5487075255826,32,3,15,587.7097415051165,1,w5,random,36
8,6037.789641,1,2,smooth,0,47.0,5990.789641,0,omni,500.0,500.0,22,786.6559281616769,15,7,22,289.3311856323354,1,w5,random,23
9,4936.687108,1,6,smooth,0,1072.720975,3863.966133,0,omni,500.0,202.08490019895143,19,387.34823176650343,11,8,16,188.46964635330067,1,w5,random,20
