suite,error_field,seed,w5_clear,w5pro_clear,w5_time_s,w5pro_time_s,delta_time_s
collinear,smooth,10000,1,1,7670.609174,9199.769865,1529.160691
collinear,smooth,10000,1,1,7670.609174,9199.769865,1529.160691
collinear,smooth,10001,1,1,7557.831453,8742.564474,1184.733021000001
collinear,smooth,10001,1,1,7557.831453,8742.564474,1184.733021000001
min_reff,smooth,10000,1,1,8970.720791,9634.982894,664.2621030000009
min_reff,smooth,10000,1,1,8970.720791,9634.982894,664.2621030000009
min_reff,smooth,10001,1,1,7617.93821,9467.016627,1849.0784170000006
min_reff,smooth,10001,1,1,7617.93821,9467.016627,1849.0784170000006
random,smooth,0,1,1,7643.34352,9791.911627,2148.568106999999
random,smooth,0,1,1,7643.34352,9791.911627,2148.568106999999
random,smooth,1,1,1,7393.196555,9453.641105,2060.44455
random,smooth,1,1,1,7393.196555,9453.641105,2060.44455
random,smooth,2,1,1,5303.336748,9079.254138,3775.9173900000005
random,smooth,2,1,1,5303.336748,9079.254138,3775.9173900000005
