channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,7598.880893,1,5,smooth,0,1141.31816,6457.562733,0,dir,500.0,262.0773773934332,24,1947.9650847271193,16,8,20,529.5930169454239,0,w5pro,random,25
2,5528.088865,1,1,smooth,0,325.0,5203.088865,0,omni,483.04677825696564,483.04677825696564,13,501.3117184506852,9,4,13,178.26234369013704,0,w5pro,random,14
3,5786.236399,1,2,smooth,0,331.0,5455.236399,0,omni,500.0,425.80377943717076,13,879.3688739942484,10,3,12,252.87377479884967,0,w5pro,random,15
4,9337.049917,1,8,smooth,0,3946.741233,5390.308684,0,dir,500.0,328.125,8,1288.8159657334893,6,2,0,297.76319314669786,0,w5pro,random,9
5,971.209571,1,0,smooth,0,29.0,942.209571,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
6,8965.087471,1,2,smooth,0,703.48042,8261.607051,0,dir,500.0,455.4451975519549,13,2021.1924453199413,10,3,13,482.23848906398825,0,w5pro,random,14
7,7059.145271,1,13,smooth,1,2124.710621,4934.43465,0,dir,327.5077659653113,53.21952031457893,20,450.0777143761764,15,5,7,197.01554287523527,0,w5pro,random,22
8,8195.2963,1,5,smooth,0,3536.731029,4658.5652709999995,0,dir,422.5606277819932,162.05318908300927,5,2190.862958471488,0,5,1,464.17259169429764,0,w5pro,random,7
9,6893.129726,1,3,smooth,0,2546.720825,4346.408901000001,0,dir,500.0,388.0893990657759,6,1150.1891056814725,3,3,4,264.0378211362945,0,w5pro,random,9
10,8335.396933,1,0,smooth,0,6450.946391,1884.4505419999996,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
12,520.676385,1,0,smooth,0,71.0,449.676385,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
13,8851.214771,1,5,smooth,0,739.48042,8111.734351000001,0,dir,460.60225027927146,176.20883122506933,16,493.70706835398306,10,6,12,190.74141367079662,0,w5pro,random,17
14,9653.661618,1,0,smooth,0,3964.741233,5688.920384999999,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
16,1715.967082,1,0,smooth,0,1195.31816,520.6489219999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
18,619.863842,1,0,smooth,0,107.0,512.863842,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
20,7318.841786,1,5,smooth,0,119.0,7199.841786,0,dir,500.0,210.89838296431816,18,1143.4825767274638,11,7,14,332.69651534549274,0,w5pro,random,19
1,6995.670576,1,2,iid,0,1624.641897,5371.028679000001,0,dir,500.0,463.4162240169219,9,805.7168314498356,5,4,9,215.1433662899671,0,w5pro,random,11
2,10047.977028,1,0,iid,0,3072.662305,6975.3147229999995,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
3,7606.243343,1,6,iid,0,645.0,6961.243343,0,omni,500.0,232.64948041937012,13,1164.382034924348,7,6,8,305.8764069848696,0,w5pro,random,14
4,8594.607592,1,7,iid,0,4886.458789,3708.148803,0,dir,500.0,126.41469787010263,7,803.2829602849971,3,4,0,195.65659205699941,0,w5pro,random,8
5,938.294807,1,0,iid,0,29.0,909.294807,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
6,1150.934905,1,0,iid,0,343.0,807.9349050000001,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
7,6575.249993,1,11,iid,0,2656.652101,3918.5978920000002,0,dir,324.37435405419313,62.48754291668442,11,434.11124646437054,6,5,1,142.82224929287412,0,w5pro,random,13
8,9249.121305,1,4,iid,0,5412.468993,3836.652312,0,dir,425.91216554058207,190.296906335367,4,842.7168980870241,0,4,0,188.5433796174048,0,w5pro,random,5
9,6427.427741,1,14,iid,1,1944.641897,4482.785844,0,dir,313.31973081722276,50.18962499674255,17,1769.0433911646242,11,6,3,441.8086782329248,0,w5pro,random,20
10,5992.619062,1,2,iid,0,1364.641897,4627.977165,0,dir,500.0,405.336072840263,7,1489.4170395884728,5,2,6,338.88340791769457,0,w5pro,random,9
12,7336.117509,1,1,iid,0,71.0,7265.117509,0,omni,300.26795100080193,300.26795100080193,10,1363.8912868182142,8,2,10,332.77825736364287,0,w5pro,random,11
13,8372.009172,1,25,iid,0,687.0,7685.009172,0,dir,500.0,155.625,32,3173.82914457238,26,6,8,802.765828914476,0,w5pro,random,33
14,5620.156042,1,1,iid,0,385.0,5235.156042,0,dir,282.62967479539657,282.62967479539657,9,687.5692924715598,7,2,9,191.51385849431196,0,w5pro,random,10
16,3281.345374,1,0,iid,0,2680.652101,600.6932729999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
18,818.185511,1,0,iid,0,107.0,711.185511,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
20,6822.043138,1,1,iid,0,119.0,6703.043138,0,dir,500.0,500.0,10,191.75120177047654,6,4,10,98.3502403540953,0,w5pro,random,11
1,5603.48968,1,6,biased,0,1144.397762,4459.091918,0,dir,500.0,220.88433503715734,18,1971.7220723773498,9,9,13,497.34441447547,0,w5pro,random,19
2,6030.200428,1,1,biased,0,325.0,5705.200428,0,omni,483.71404136338117,483.71404136338117,13,1597.7188932253496,9,4,13,397.5437786450699,0,w5pro,random,14
3,6332.140345,1,1,biased,0,331.0,6001.140345,0,omni,500.0,500.0,12,570.970140199917,10,2,12,186.19402803998338,0,w5pro,random,14
4,8764.489192,1,8,biased,0,3947.150373,4817.338818999999,0,dir,500.0,328.125,8,1279.731233085406,6,2,0,295.9462466170812,0,w5pro,random,9
5,974.566209,1,0,biased,0,29.0,945.566209,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
6,7566.852872,1,2,biased,0,706.292537,6860.560335,0,dir,500.0,457.96509909687916,13,183.8711046628888,10,3,13,114.77422093257776,0,w5pro,random,14
7,5010.893852,1,4,biased,0,2125.119761,2885.774091,0,dir,329.5773272580365,138.7641498300667,10,379.0746896709191,6,4,7,132.81493793418383,0,w5pro,random,12
8,7943.908244,1,4,biased,0,3537.140169,4406.768075,0,dir,439.0686773200943,198.6657999238666,4,1737.84526145376,0,4,1,368.569052290752,0,w5pro,random,6
9,4907.016521,1,3,biased,0,2547.129965,2359.8865559999995,0,dir,500.0,387.4245238854367,6,1148.3869158847608,3,3,4,263.67738317695216,0,w5pro,random,9
10,8087.291842,1,0,biased,0,4467.150373,3620.1414689999992,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
12,522.089054,1,0,biased,0,71.0,451.08905400000003,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
13,7453.149691,1,8,biased,0,742.292537,6710.857153999999,0,dir,472.6566609407414,119.59705921024705,19,2110.4343823533354,13,6,13,530.0868764706671,0,w5pro,random,20
14,9368.740027,1,0,biased,0,3965.150373,5403.589653999999,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
16,1718.205262,1,0,biased,0,1198.397762,519.8074999999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
18,621.227346,1,0,biased,0,107.0,514.227346,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
20,5316.283488,1,12,biased,0,119.0,5197.283488,0,dir,500.0,100.64909571100856,25,1196.9481777294666,17,8,14,378.3896355458933,0,w5pro,random,26
1,8018.477822,1,1,adversarial,0,1136.529791,6881.948031,0,dir,241.02765498076343,241.02765498076343,13,605.6472822492161,8,5,13,199.12945644984322,0,w5pro,random,14
2,7375.421783,1,1,adversarial,0,325.0,7050.421783,0,omni,481.84551128297545,481.84551128297545,11,1654.135765776579,7,4,11,396.82715315531584,0,w5pro,random,12
