channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,7598.880893,1,5,smooth,0,1141.31816,6457.562733,0,dir,500.0,262.0773773934332,24,1947.9650847271193,16,8,20,529.5930169454239,0,w5pro,random,25
2,5528.088865,1,1,smooth,0,325.0,5203.088865,0,omni,483.04677825696564,483.04677825696564,13,501.3117184506852,9,4,13,178.26234369013704,0,w5pro,random,14
3,5786.236399,1,2,smooth,0,331.0,5455.236399,0,omni,500.0,425.80377943717076,13,879.3688739942484,10,3,12,252.87377479884967,0,w5pro,random,15
4,9337.049917,1,8,smooth,0,3946.741233,5390.308684,0,dir,500.0,328.125,8,1288.8159657334893,6,2,0,297.76319314669786,0,w5pro,random,9
5,971.209571,1,0,smooth,0,29.0,942.209571,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
6,8965.087471,1,2,smooth,0,703.48042,8261.607051,0,dir,500.0,455.4451975519549,13,2021.1924453199413,10,3,13,482.23848906398825,0,w5pro,random,14
7,7059.145271,1,13,smooth,1,2124.710621,4934.43465,0,dir,327.5077659653113,53.21952031457893,20,450.0777143761764,15,5,7,197.01554287523527,0,w5pro,random,22
8,8195.2963,1,5,smooth,0,3536.731029,4658.5652709999995,0,dir,422.5606277819932,162.05318908300927,5,2190.862958471488,0,5,1,464.17259169429764,0,w5pro,random,7
9,6893.129726,1,3,smooth,0,2546.720825,4346.408901000001,0,dir,500.0,388.0893990657759,6,1150.1891056814725,3,3,4,264.0378211362945,0,w5pro,random,9
10,8335.396933,1,0,smooth,0,6450.946391,1884.4505419999996,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
12,520.676385,1,0,smooth,0,71.0,449.676385,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
13,8851.214771,1,5,smooth,0,739.48042,8111.734351000001,0,dir,460.60225027927146,176.20883122506933,16,493.70706835398306,10,6,12,190.74141367079662,0,w5pro,random,17
14,9653.661618,1,0,smooth,0,3964.741233,5688.920384999999,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
16,1715.967082,1,0,smooth,0,1195.31816,520.6489219999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
18,619.863842,1,0,smooth,0,107.0,512.863842,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
20,7318.841786,1,5,smooth,0,119.0,7199.841786,0,dir,500.0,210.89838296431816,18,1143.4825767274638,11,7,14,332.69651534549274,0,w5pro,random,19
3,1889.789513,1,0,smooth,0,645.0,1244.789513,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,1,w5pro,random,3
4,8799.97885,1,1,smooth,0,23.0,8776.97885,0,omni,471.5665110168992,471.5665110168992,24,2386.171281252072,16,8,24,621.2342562504143,1,w5pro,random,25
7,9453.641105,1,21,smooth,0,4191.951268,5261.689837000001,0,dir,500.0,148.4375,29,2713.3112779973826,26,3,9,696.6622555994766,1,w5pro,random,30
8,6744.37941,1,1,smooth,0,47.0,6697.37941,0,omni,334.63502262139104,334.63502262139104,24,334.63502262139104,17,7,24,210.9270045242782,1,w5pro,random,25
9,1810.413879,1,0,smooth,0,977.0,833.413879,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,1,w5pro,random,2
11,7086.907848,1,1,smooth,0,65.0,7021.907848,0,omni,500.0,500.0,24,926.3149674725315,14,10,24,329.2629934945063,1,w5pro,random,25
13,1769.350533,1,0,smooth,0,995.0,774.350533,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,1,w5pro,random,2
14,7312.667193,1,1,smooth,0,83.0,7229.667193,0,omni,500.0,500.0,23,248.54004886794138,16,7,23,187.7080097735883,1,w5pro,random,25
16,7653.434284,1,1,smooth,0,95.0,7558.434284,0,omni,500.0,500.0,22,1024.0814056865145,15,7,22,336.8162811373029,1,w5pro,random,25
17,7978.470373,1,1,smooth,0,699.0,7279.470373,0,omni,344.1463002091619,344.1463002091619,22,1238.394449387062,17,5,22,379.6788898774124,1,w5pro,random,23
19,8218.839603,1,2,smooth,0,2345.920656,5872.918947,0,dir,327.1797928875897,232.84160772286202,17,1102.6083779886526,15,2,16,321.5216755977305,1,w5pro,random,19
1,2730.533414,1,0,smooth,0,2039.010204,691.5232100000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
2,4512.263308,1,5,smooth,0,325.0,4187.263308,0,omni,500.0,182.0070643134235,16,910.0353215671175,10,6,11,273.0070643134235,2,w5pro,random,17
3,6240.484368,1,1,smooth,0,17.0,6223.484368,0,omni,500.0,500.0,11,1709.552741301678,6,5,11,407.9105482603356,2,w5pro,random,12
4,9079.254138,1,12,smooth,0,3165.177925,5914.076213,0,dir,500.0,141.9378481164351,12,1598.3095065710925,6,6,0,379.6619013142185,2,w5pro,random,13
5,5773.171641,1,1,smooth,0,959.0,4814.171641,0,omni,304.646856310698,304.646856310698,8,509.4376508066999,2,6,8,149.88753016133998,2,w5pro,random,9
6,8004.341233,1,0,smooth,0,4294.256244,3710.084989,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
10,5262.998271,1,3,smooth,0,59.0,5203.998271,0,omni,136.57961181546614,79.28724003313272,13,643.9621310360787,8,5,11,204.79242620721575,2,w5pro,random,14
11,5493.743626,1,1,smooth,0,65.0,5428.743626,0,dir,486.1990036352827,486.1990036352827,11,614.0859784210787,8,3,11,188.81719568421573,2,w5pro,random,12
12,6806.900668,1,19,smooth,0,367.0,6439.900668,0,dir,416.4428725856287,147.26187106235227,28,2327.0814999299214,24,4,10,615.4162999859843,2,w5pro,random,29
13,5109.875024,1,4,smooth,0,77.0,5032.875024,0,dir,264.9474218292605,122.90480940899782,14,1013.8705580124468,9,5,13,285.77411160248937,2,w5pro,random,15
14,8503.328908,1,0,smooth,0,4022.24604,4481.0828679999995,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
15,5068.527371,1,4,smooth,0,89.0,4979.527371,0,omni,206.09265278169116,95.87485044767969,14,234.51121553530035,9,5,12,128.9022431070601,2,w5pro,random,15
16,3366.322641,1,0,smooth,0,2899.177925,467.14471600000024,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
17,4774.56224,1,9,smooth,0,385.0,4389.56224,0,dir,500.0,257.4527750267833,18,1042.8005130358426,13,5,10,308.5601026071685,2,w5pro,random,19
19,5601.755784,1,10,smooth,0,2093.010204,3508.74558,0,dir,133.76567491239229,36.775411614718074,13,260.060793484515,8,5,4,121.012158696903,2,w5pro,random,14
20,2705.64507,1,0,smooth,0,2099.010204,606.6348659999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
