avg_time_per_source_s,certificate_summary_count,channel_switch_count,channel_switch_time_s,clear_fail,clear_success,clear_time_s,cleared,coarse_failures,coarse_successes,completed_search_points,corridor_opportunity_count,deferred_targets,dir_count,discovered_but_not_cleared,error,error_field,event_corridor_opportunity,event_information_ridge,event_information_ridge_selected,event_intersection_attempt,event_intersection_selected,event_nbv_selected,event_no_progress_guard,event_outcome_probabilities,event_route_choice,event_route_repair,event_scan_continue,event_scan_observe,event_spatial_bundle,event_spatial_service,event_tail_fallback,exit_state_count,fallback_rate,fallback_targets,information_ridge_selected_count,intersection_attempts,intersection_selected_count,legacy_backbone_fallback_count,local_reacquisition_measure_count,local_reacquisition_move_m,local_reacquisition_switch_count,local_reacquisition_time_s,measure_count,measure_time_s,mec_checks,move_distance_m,move_time_s,n,nbv_effective_count,nbv_selected_count,near_count,never_discovered,no_progress_guard_count,no_signal_after_found,non_reacquisition_time_s,number_cleared,number_discovered,omni_count,outcome_probability_count,policy_runtime_s,problem,reacquisition_attempts,reacquisition_successes,remaining_search_points,route_repair_count,seed,source_count,spatial_stop_selected_count,success,suite,switch_count,switch_time_s,tail_fallback_event_count,tail_rescue_count,targets_remaining_at_exit,termination_reason,time_component_delta_s,total,total_time_s,version,w2_fallback_count,w3_coarse_fallback_count,wait_for_route_success_count
535.67962625,1,479,479.0,0,16,80.0,16,90,33,22,58,1,12,0,,smooth,58,1208,165,141,78,141,0,141,167,167,345,578,671,17,498,1,0.0,0,165,0,78,0,152,4222.384789086107,58,1662.4769578172213,578,2890.0,33,25609.370108561594,5121.874021712318,27,0,141,9,0,0,118,6908.3970621827775,16,16,4,141,27.08331719999842,4,152,46,0,167,0,16,0,1,tiny_cluster,479,479.0,498,0,0,hard_complete,-1.7123202269431204e-06,16,8570.87402,w5pro,0,0,0
491.4985295,1,474,474.0,0,16,80.0,16,33,32,22,71,1,12,0,,iid,71,816,107,78,16,78,0,78,109,109,345,515,407,17,441,1,0.0,3,107,0,16,0,89,2294.7768094416524,53,956.9553618883305,515,2575.0,32,23674.882347416285,4734.97646948326,27,0,78,4,0,0,61,6907.02111011167,16,16,4,78,18.04548970000178,4,89,40,0,109,0,16,0,1,tiny_cluster,474,474.0,441,0,0,hard_complete,2.5167428248096257e-06,16,7863.976472,w5pro,0,0,0
466.863462625,1,364,364.0,0,16,80.0,16,46,40,15,103,1,12,0,,biased,103,1032,134,112,54,112,0,112,136,136,296,431,1254,39,350,1,0.0,1,134,0,54,0,103,3180.7672117966176,49,1200.1534423593234,431,2155.0,40,24354.07701711178,4870.815403422357,27,0,112,4,0,0,68,6269.661959640676,16,16,4,112,37.54244179998932,4,103,48,0,136,0,16,0,1,tiny_cluster,364,364.0,350,0,0,hard_complete,-1.4223560356185772e-06,16,7469.815402,w5pro,0,0,0
393.5411608125,1,223,223.0,0,16,80.0,16,0,14,8,92,0,12,0,,adversarial,92,512,69,52,13,52,0,52,71,71,252,250,750,61,198,1,0.0,0,69,0,13,0,22,2245.819032645036,14,573.1638065290072,250,1250.0,14,23718.29286093606,4743.658572187212,27,0,52,0,0,0,11,5723.4947664709925,16,16,4,52,40.034683600009885,4,22,18,0,71,0,16,0,1,tiny_cluster,223,223.0,198,0,0,hard_complete,8.12787220638711e-07,16,6296.658573,w5pro,0,0,0
487.5342689375,1,476,476.0,0,16,80.0,16,12,31,22,64,1,12,0,,piecewise,64,605,85,59,25,59,0,59,87,87,345,496,285,17,420,1,0.0,0,85,0,25,0,70,2494.7451325596776,55,903.9490265119355,496,2480.0,31,23822.7415011998,4764.54830023996,27,0,59,7,0,0,40,6896.599276488064,16,16,4,59,17.52248729999701,4,70,42,0,87,0,16,0,1,tiny_cluster,476,476.0,420,0,0,hard_complete,2.7600399334914982e-06,16,7800.548303,w5pro,0,0,0
582.8052475,1,222,222.0,0,16,80.0,16,84,27,21,88,1,12,0,,smooth,88,1154,160,132,122,132,0,132,160,160,401,335,574,20,270,1,0.0,3,160,0,122,0,150,12241.999073423609,43,3241.3998146847216,335,1675.0,27,36739.41982129111,7347.883964258214,27,0,132,8,0,0,121,6083.484145315278,16,16,4,132,34.12857919999806,4,150,41,0,160,0,16,0,1,collinear,222,222.0,270,0,0,hard_complete,-4.258221451891586e-06,16,9324.88396,w5pro,0,0,0
540.0280840625,1,218,218.0,0,16,80.0,16,39,26,15,130,0,12,0,,iid,130,920,121,93,70,93,0,93,122,122,306,284,984,36,226,1,0.0,0,121,0,70,0,81,10928.987668464593,27,2617.7975336929185,284,1420.0,26,34612.246717902846,6922.449343580569,27,0,93,2,0,0,62,6022.651811307082,16,16,4,93,52.96100989999832,4,81,30,0,122,0,16,0,1,collinear,218,218.0,226,0,0,hard_complete,1.4194320101523772e-06,16,8640.449345,w5pro,0,0,0
570.263448875,1,233,233.0,0,16,80.0,16,54,24,23,80,1,12,0,,biased,80,734,125,91,83,91,0,91,125,125,410,307,76,11,248,1,0.0,1,125,0,83,0,122,11699.457848894164,52,3001.891569778833,307,1535.0,24,36381.07591991905,7276.215183983809,27,0,91,4,0,0,97,6122.323612221167,16,16,4,91,20.725983900003484,4,122,37,0,125,0,16,0,1,collinear,233,233.0,248,0,0,hard_complete,-1.98380985239055e-06,16,9124.215182,w5pro,0,0,0
542.0105224375,1,219,219.0,0,16,80.0,16,27,28,15,128,0,12,0,,adversarial,128,848,112,82,59,82,0,82,113,113,306,274,903,37,216,1,0.0,0,112,0,59,0,70,10674.048955552695,28,2512.8097911105388,274,1370.0,28,35015.84181039681,7003.168362079361,27,0,82,0,0,0,52,6159.358567889461,16,16,4,82,47.78933470000629,4,70,31,0,113,0,16,0,1,collinear,219,219.0,216,0,0,hard_complete,-3.07936170429457e-06,16,8672.168359,w5pro,0,0,0
573.5552360625,1,220,220.0,0,16,80.0,16,82,27,15,115,0,12,0,,piecewise,115,1312,170,147,124,147,0,147,171,171,306,337,1486,35,270,1,0.0,2,170,0,124,0,132,11423.79407785712,29,2973.758815571424,337,1685.0,27,35959.41889704619,7191.883779409247,27,0,147,7,0,0,106,6203.124961428575,16,16,4,147,73.67725079999946,4,132,37,0,171,0,16,0,1,collinear,220,220.0,270,0,0,hard_complete,-2.409238732070662e-06,16,9176.883777,w5pro,0,0,0
612.229303375,1,283,283.0,0,16,80.0,16,90,26,15,89,6,12,0,,smooth,89,1304,167,144,104,144,0,144,169,169,383,401,1383,33,331,1,0.0,1,167,0,104,0,177,12040.018096780768,72,3365.0036193561536,401,2005.0,26,37138.34426696751,7427.668853393501,27,0,144,6,0,0,152,6430.665234643846,16,16,4,144,61.246352800008026,4,177,33,0,169,0,16,0,1,far_pair,283,283.0,331,0,0,hard_complete,6.064965418772772e-07,16,9795.668854,w5pro,0,0,0
593.153437125,1,288,288.0,0,16,80.0,16,35,30,15,107,7,12,0,,iid,107,901,117,89,62,89,0,89,118,118,359,357,874,33,291,1,0.0,0,117,0,62,0,130,12842.874896558274,74,3292.5749793116547,357,1785.0,30,36687.27497325631,7337.454994651262,27,0,89,2,0,0,106,6197.880014688345,16,16,4,89,37.10336140000436,4,130,36,0,118,0,16,0,1,far_pair,288,288.0,291,0,0,hard_complete,-6.512618710985407e-07,16,9490.454994,w5pro,0,0,0
595.9496069375,1,275,275.0,0,16,80.0,16,54,27,15,89,6,12,0,,biased,89,1024,132,106,76,106,0,106,134,134,384,362,1029,33,296,1,0.0,1,132,0,76,0,139,11842.850266267196,65,3128.5700532534393,362,1810.0,27,36850.96857609489,7370.19371521898,27,0,106,3,0,0,117,6406.623657746561,16,16,4,106,45.470519700000295,4,139,31,0,134,0,16,0,1,far_pair,275,275.0,296,0,0,hard_complete,-4.218978574499488e-06,16,9535.193711,w5pro,0,0,0
608.49164025,1,320,320.0,0,16,80.0,16,15,27,21,88,7,12,0,,adversarial,88,673,92,56,43,56,0,56,92,92,501,358,255,15,299,1,0.0,0,92,0,43,0,123,11643.360353675744,91,3034.6720707351487,358,1790.0,27,37729.33118713507,7545.866237427012,27,0,56,1,0,0,102,6701.194173264852,16,16,4,56,16.69675480001024,4,123,33,0,92,0,16,0,1,far_pair,320,320.0,299,0,0,hard_complete,6.572987331310287e-06,16,9735.866244,w5pro,0,0,0
626.390729625,1,304,304.0,0,16,80.0,16,84,32,15,101,7,12,0,,piecewise,101,1309,168,145,109,145,0,145,169,169,359,413,1377,33,340,1,0.0,0,168,0,109,0,186,14418.118607758373,90,3903.623721551675,413,2065.0,32,37866.25836533612,7573.251673067221,27,0,145,7,0,0,155,6118.627952448324,16,16,4,145,54.94597390000126,4,186,43,0,169,0,16,0,1,far_pair,304,304.0,340,0,0,hard_complete,9.327741281595081e-07,16,10022.251674,w5pro,0,0,0
622.3492964375,1,283,283.0,0,16,80.0,16,56,28,16,103,7,12,0,,smooth,103,954,138,113,70,113,0,113,139,139,333,369,845,30,302,1,0.0,0,138,0,70,0,155,14455.76792745023,76,3742.1535854900458,369,1845.0,28,38747.94370748878,7749.588741497754,27,0,113,6,0,0,125,6215.4351575099545,16,16,4,113,40.46361160000379,4,155,41,0,139,0,16,0,1,max_count,283,283.0,302,0,0,hard_complete,1.5022433217382059e-06,16,9957.588743,w5pro,0,0,0
591.238638875,1,277,277.0,0,16,80.0,16,18,27,15,120,7,12,0,,iid,120,734,99,73,43,73,0,73,101,101,322,326,681,33,263,1,0.0,0,99,0,43,0,112,12889.912712450214,75,3212.9825424900428,326,1630.0,27,37364.091100377926,7472.818220075587,27,0,73,3,0,0,86,6246.835679509957,16,16,4,73,31.404499500000384,4,112,37,0,101,0,16,0,1,max_count,277,277.0,263,0,0,hard_complete,1.9244143913965672e-06,16,9459.818222,w5pro,0,0,0
654.0849228125,1,339,339.0,0,16,80.0,16,57,19,21,94,5,12,0,,biased,94,721,127,94,65,94,0,94,127,127,453,420,238,15,355,1,0.0,0,127,0,65,0,156,10091.056610219304,82,2880.211322043861,420,2100.0,19,39731.79383808311,7946.358767616621,27,0,94,4,0,0,133,7585.14744295614,16,16,4,94,23.033532499990542,4,156,32,0,127,0,16,0,1,max_count,339,339.0,355,0,0,hard_complete,-2.616621713968925e-06,16,10465.358765,w5pro,0,0,0
605.43571325,1,277,277.0,0,16,80.0,16,9,31,15,122,7,12,0,,adversarial,122,686,95,65,33,65,0,65,96,96,322,319,620,34,255,1,0.0,0,95,0,33,0,104,13949.938013486899,75,3384.9876026973798,319,1595.0,31,38674.85705976934,7734.9714119538685,27,0,65,0,0,0,78,6301.983809302621,16,16,4,65,28.528135899992776,4,104,38,0,96,0,16,0,1,max_count,277,277.0,255,0,0,hard_complete,4.613320925273001e-08,16,9686.971412,w5pro,0,0,0
627.6808114375,1,283,283.0,0,16,80.0,16,49,31,16,114,7,12,0,,piecewise,114,909,135,108,45,108,0,108,136,136,333,364,668,30,296,1,0.0,0,135,0,45,0,149,14395.094020068947,76,3700.0188040137896,364,1820.0,31,39299.46490409362,7859.892980818731,27,0,108,4,0,0,119,6342.874178986211,16,16,4,108,32.948911500003305,4,149,42,0,136,0,16,0,1,max_count,283,283.0,296,0,0,hard_complete,2.181275704060681e-06,16,10042.892983,w5pro,0,0,0
