channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,6887.615358,1,10,smooth,0,5001.040816,1886.5745420000003,0,dir,395.62089845979096,99.25142928680332,11,192.98616492084696,7,4,6,99.5972329841694,0,w5pro,tiny_cluster,13
2,6874.150291,1,10,smooth,0,5007.040816,1867.1094750000002,0,dir,396.0324835120826,99.4510802152068,10,108.06567236985724,6,4,4,75.61313447397146,0,w5pro,tiny_cluster,12
3,6746.080765,1,10,smooth,0,5013.040816,1733.039949,0,dir,377.76589049100187,97.87799715869872,10,217.88665188692536,6,4,3,96.57733037738507,0,w5pro,tiny_cluster,12
4,7738.25508,1,21,smooth,0,5465.05102,2273.20406,0,dir,500.0,167.7827380952381,21,1496.939494891925,18,3,2,406.387898978385,0,w5pro,tiny_cluster,22
5,5715.676746,1,0,smooth,0,5025.040816,690.6359300000004,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,tiny_cluster,2
6,5734.85289,1,0,smooth,0,5031.040816,703.8120740000004,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,tiny_cluster,2
7,6094.823549,1,1,smooth,0,41.0,6053.823549,0,omni,303.47972508056046,303.47972508056046,20,737.1665850130768,15,5,20,267.43331700261535,0,w5pro,tiny_cluster,21
8,7013.295305,1,17,smooth,0,5037.040816,1976.254489,0,dir,415.98069521627303,68.452103735142,17,438.4842761516102,12,5,3,175.69685523032203,0,w5pro,tiny_cluster,19
9,6360.722281,1,4,smooth,0,4729.040816,1631.6814650000006,0,dir,328.7021007414893,153.694746284363,4,220.98142256357895,0,4,4,68.19628451271579,0,w5pro,tiny_cluster,7
10,5698.679898,1,0,smooth,0,5043.040816,655.6390820000006,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,tiny_cluster,2
12,5750.291912,1,0,smooth,0,5055.040816,695.251096,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,tiny_cluster,2
13,7127.015919,1,0,smooth,0,5872.656549,1254.3593700000001,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,tiny_cluster,1
14,6499.108597,1,14,smooth,0,5067.040816,1432.0677810000007,0,dir,351.6882024418455,70.4995209280976,14,174.8912942498433,9,5,4,108.97825884996865,0,w5pro,tiny_cluster,16
16,6658.942281,1,17,smooth,0,5079.040816,1579.901465,0,dir,367.5088128118553,62.399253605421,17,187.5283354100793,12,5,6,128.50566708201586,0,w5pro,tiny_cluster,19
18,7414.203643,1,11,smooth,0,5495.05102,1919.152623,0,dir,500.0,109.7306935546795,11,260.7965216411989,9,2,1,108.15930432823978,0,w5pro,tiny_cluster,13
20,6600.454744,1,17,smooth,0,5103.040816,1497.413928,0,dir,378.7257062225245,62.98739718624459,17,186.65836998716324,12,5,5,127.33167399743265,0,w5pro,tiny_cluster,19
1,6396.76184,1,3,iid,0,5001.040816,1395.7210240000004,0,dir,383.85565930830865,205.69462277180037,4,92.59378959693339,1,3,4,42.51875791938668,0,w5pro,tiny_cluster,6
2,6478.608475,1,13,iid,1,5007.040816,1471.5676590000003,0,dir,384.7087359208144,56.82777073343541,14,100.80498076824385,9,5,3,93.16099615364877,0,w5pro,tiny_cluster,16
3,6334.261846,1,3,iid,0,5013.040816,1321.2210300000006,0,dir,366.8184997118734,197.20052991221394,3,106.85038566252742,0,3,3,39.370077132505486,0,w5pro,tiny_cluster,5
4,7031.375382,1,2,iid,0,5465.05102,1566.3243620000003,0,dir,500.0,277.098410623994,2,451.6161087280242,0,2,2,102.32322174560484,0,w5pro,tiny_cluster,3
5,5709.024588,1,0,iid,0,5025.040816,683.9837720000005,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,tiny_cluster,2
6,5689.735248,1,0,iid,0,5031.040816,658.6944320000002,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,tiny_cluster,2
7,6079.523871,1,1,iid,0,41.0,6038.523871,0,omni,300.2179966572333,300.2179966572333,20,742.2049625958608,15,5,20,268.44099251917214,0,w5pro,tiny_cluster,21
8,6706.502008,1,3,iid,0,5037.040816,1669.4611920000007,0,dir,402.43411967744663,213.92496696394642,3,316.66565630879404,0,3,2,80.33313126175881,0,w5pro,tiny_cluster,5
9,6527.925017,1,11,iid,0,4729.040816,1798.8842009999998,0,dir,327.67002048726556,64.60722440848414,11,187.19327893629685,6,5,5,97.43865578725936,0,w5pro,tiny_cluster,14
10,5726.085466,1,0,iid,0,5043.040816,683.0446500000007,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,tiny_cluster,2
12,5732.421726,1,0,iid,0,5055.040816,677.3809099999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,tiny_cluster,2
13,6819.207395,1,0,iid,0,5856.140421,963.0669740000003,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,tiny_cluster,1
14,6612.357045,1,13,iid,1,5067.040816,1545.316229,0,dir,342.60242502606354,53.73262861191675,14,101.2146833974429,9,5,4,94.24293667948858,0,w5pro,tiny_cluster,16
16,6663.386628,1,13,iid,1,5079.040816,1584.3458120000005,0,dir,357.79205885292066,56.45644497759271,14,126.20881968013568,9,5,6,101.24176393602713,0,w5pro,tiny_cluster,16
18,7008.599283,1,1,iid,0,5495.05102,1513.5482629999997,0,dir,500.0,500.0,1,2.094393571219117,0,1,1,6.4188787142438235,0,w5pro,tiny_cluster,3
20,6353.685981,1,3,iid,0,5103.040816,1250.645165,0,dir,367.8748515168366,198.47209961935766,3,67.32975019617398,0,3,3,31.465950039234794,0,w5pro,tiny_cluster,5
1,4503.269351,1,7,biased,0,3131.020408,1372.248943,0,dir,390.862944810133,100.48005782114286,8,113.99942465908458,4,4,5,67.79988493181692,0,w5pro,tiny_cluster,10
2,4468.210375,1,7,biased,0,3137.020408,1331.1899669999998,0,dir,391.62236210142584,100.8079160248086,7,69.45397095848931,3,4,3,51.890794191697864,0,w5pro,tiny_cluster,9
3,4634.417099,1,7,biased,0,3143.020408,1491.3966910000004,0,dir,374.22029919668796,96.19811477377523,7,141.96004274928652,3,4,4,67.39200854985731,0,w5pro,tiny_cluster,9
4,5402.110612,1,19,biased,1,3595.030612,1807.0800000000004,0,dir,500.0,71.43296486906779,20,445.5509146518307,15,5,2,191.11018293036614,0,w5pro,tiny_cluster,22
5,3843.264641,1,0,biased,0,3155.020408,688.2442330000003,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,tiny_cluster,2
6,3862.474706,1,0,biased,0,3161.020408,701.4542980000001,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,tiny_cluster,2
7,4780.815697,1,1,biased,0,41.0,4739.815697,0,omni,298.5430861102255,298.5430861102255,13,268.1064303403992,8,5,13,131.62128606807983,0,w5pro,tiny_cluster,14
