channel,clear_time_s,cleared,coarse_probe_count,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,2896.352297,1,7,0,1288.158409,1608.193888,0,dir,500.0,392.85714285714283,0,0.0,0,0,0,0.0,0,w5pro,random,0
2,2019.2803,1,0,0,543.66897,1475.61133,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
3,1766.353173,1,5,0,537.66897,1228.684203,0,omni,444.5117458390272,170.49015876605512,0,0.0,0,0,0,0.0,0,w5pro,random,0
4,7621.238964,1,8,0,7207.123411,414.11555300000055,0,dir,500.0,328.125,0,0.0,0,0,0,0.0,0,w5pro,random,0
5,350.672941,1,0,0,29.0,321.672941,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
6,7981.561382,1,0,0,7201.123411,780.4379710000003,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
7,5268.233357,1,20,0,4716.198759,552.0345980000002,0,dir,500.0,169.53125,0,0.0,0,0,0,0.0,0,w5pro,random,0
8,6652.610115,1,0,0,6437.159968,215.45014700000047,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
9,4823.239596,1,18,0,3287.658268,1535.5813280000002,0,dir,500.0,114.17084977180055,0,0.0,0,0,0,0.0,0,w5pro,random,0
10,3712.002856,1,14,0,3034.658268,677.3445879999999,0,dir,500.0,159.73314494213398,0,0.0,0,0,0,0.0,0,w5pro,random,0
12,637.345355,1,0,0,71.0,566.345355,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
13,7775.238727,1,0,0,7189.123411,586.1153160000003,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
14,6317.585827,1,6,0,6054.920447,262.66537999999946,0,dir,500.0,153.13109498209778,0,0.0,0,0,0,0.0,0,w5pro,random,0
16,2225.412765,1,0,0,1366.158409,859.2543560000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
18,736.532812,1,0,0,107.0,629.532812,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
20,1240.413101,1,11,0,119.0,1121.413101,0,dir,500.0,297.68727276899074,0,0.0,0,0,0,0.0,0,w5pro,random,0
1,1887.712433,1,6,0,804.984857,1082.7275759999998,0,dir,416.0343208965672,254.52250454375394,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
2,1455.759573,1,0,0,11.0,1444.759573,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
3,4385.694016,1,4,0,3996.35187,389.3421460000004,0,dir,500.0,195.0130865650649,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
4,2151.933819,1,0,0,822.984857,1328.948962,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
5,1240.213775,1,15,0,29.0,1211.213775,0,dir,500.0,200.75192884095566,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
6,3577.815206,1,0,0,2998.855402,578.9598040000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
7,5277.199425,1,0,0,5075.995186,201.2042389999997,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
9,5709.042816,1,2,0,5087.995186,621.04763,0,dir,394.73287877687653,296.03588198890975,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
10,4920.829891,1,0,0,4598.968378,321.86151300000074,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
13,8375.960767,1,0,0,8105.209188,270.7515790000007,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
14,3400.841454,1,0,0,2950.855402,449.98605199999975,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
16,3931.584207,1,0,0,3269.855402,661.7288049999997,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
17,697.00727,1,0,0,101.0,596.00727,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
19,4075.925906,1,0,0,3281.855402,794.0705039999998,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
