channel,clear_time_s,cleared,coarse_probe_count,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,,0,0,0,662.38152,,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
2,,0,0,0,11.0,,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
3,3807.108397,1,0,0,3070.092293,737.0161039999998,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
4,1203.151575,1,0,0,674.38152,528.7700550000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
5,,0,0,0,29.0,,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
6,,0,0,0,976.38152,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
10,,0,0,0,3094.092293,,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
13,,0,0,0,379.0,,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
14,,0,0,0,1018.38152,,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
16,,0,0,0,2514.092293,,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
17,554.014078,1,0,0,101.0,453.01407800000004,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
19,,0,0,0,2526.092293,,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,0
