channel,clear_time_s,cleared,coarse_probe_count,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,5837.013569,1,5,0,1141.31816,4695.695409,0,dir,500.0,262.0773773934332,0,0.0,0,0,0,0.0,0,w5pro,random,0
2,7277.049762,1,1,0,325.0,6952.049762,0,omni,483.04677825696564,483.04677825696564,0,0.0,0,0,0,0.0,0,w5pro,random,0
3,7580.080604,1,2,0,331.0,7249.080604,0,omni,500.0,425.80377943717076,0,0.0,0,0,0,0.0,0,w5pro,random,0
4,4604.857428,1,0,0,3946.741233,658.1161950000001,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
5,971.209571,1,0,0,29.0,942.209571,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
6,8561.634324,1,1,0,703.48042,7858.153904000001,0,dir,175.38630227757085,175.38630227757085,0,0.0,0,0,0,0.0,0,w5pro,random,0
7,6489.550918,1,13,1,2124.710621,4364.840297,0,dir,327.5077659653113,53.21952031457893,0,0.0,0,0,0,0.0,0,w5pro,random,0
8,5403.595168,1,5,0,3536.731029,1866.8641389999998,0,dir,422.5606277819932,162.05318908300927,0,0.0,0,0,0,0.0,0,w5pro,random,0
9,6835.444293,1,3,0,2546.720825,4288.723468,0,dir,500.0,388.0893990657759,0,0.0,0,0,0,0.0,0,w5pro,random,0
10,9073.278761,1,7,0,5024.585238,4048.693523,0,dir,209.44075129354013,64.51580257928723,0,0.0,0,0,0,0.0,0,w5pro,random,0
12,520.676385,1,0,0,71.0,449.676385,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
13,8460.159489,1,1,0,739.48042,7720.679069,0,dir,481.9595237756425,481.9595237756425,0,0.0,0,0,0,0.0,0,w5pro,random,0
14,5205.825242,1,1,0,3964.741233,1241.0840089999997,0,dir,283.3816977605629,283.3816977605629,0,0.0,0,0,0,0.0,0,w5pro,random,0
16,1715.967082,1,0,0,1195.31816,520.6489219999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
18,619.863842,1,0,0,107.0,512.863842,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,0
20,6159.296174,1,5,0,119.0,6040.296174,0,dir,500.0,210.89838296431816,0,0.0,0,0,0,0.0,0,w5pro,random,0
