version,n,problem,suite,seed,success,cleared,total,source_count,omni_count,dir_count,total_time_s,avg_time_per_source_s,move_distance_m,move_time_s,measure_count,measure_time_s,switch_count,switch_time_s,clear_success,clear_fail,clear_time_s,near_count,time_component_delta_s,policy_runtime_s,error,number_discovered,number_cleared,discovered_but_not_cleared,never_discovered,reacquisition_attempts,reacquisition_successes,no_signal_after_found,deferred_targets,targets_remaining_at_exit,completed_search_points,remaining_search_points,termination_reason,local_reacquisition_move_m,local_reacquisition_measure_count,local_reacquisition_switch_count,local_reacquisition_time_s,non_reacquisition_time_s,coarse_successes,coarse_failures,intersection_attempts,fallback_targets,mec_checks,guaranteed_clear_attempts,guaranteed_clear_successes,guaranteed_clear_failures,certificate_ready_channels_at_exit
w6_persistent_bearing,27,4,random,0,1,16,16,16,6,10,6957.478353,434.8423970625,25942.391767088397,5188.4783534176795,291,1455.0,234,234.0,16,0,80.0,2,-4.176790753263049e-07,3.1842273750000003,,16,16,0,0,113,36,88,4,0,17,0,all_resolved,12514.54378223615,113,60,3127.9087564472297,3829.5695965527707,28,30,0,1,28,14,14,0,[]
w6_persistent_bearing,27,4,random,1,1,11,11,11,9,2,8068.535514,733.5032285454546,28877.677575528578,5775.535515105716,378,1890.0,348,348.0,11,0,55.0,2,-1.1057154551963322e-06,2.986811375,,11,11,0,0,75,26,55,2,0,25,0,all_resolved,7810.514600261664,75,51,1988.1029200523328,6080.432593947668,12,18,0,0,12,9,9,0,[]
w6_persistent_bearing,27,4,random,2,1,16,16,16,9,7,5174.80922,323.42557625,18664.046091955373,3732.809218391075,240,1200.0,162,162.0,16,0,80.0,4,1.6089252312667668e-06,1.8131401669999994,,16,16,0,0,123,53,82,1,0,8,0,all_resolved,10773.5018808342,123,49,2818.7003761668398,2356.1088438331603,39,45,0,0,39,12,12,0,[]
w6_persistent_bearing,27,4,random,3,1,11,11,11,6,5,7463.001137,678.4546488181818,24145.00567923961,4829.001135847922,435,2175.0,404,404.0,11,0,55.0,3,1.152077857113909e-06,2.1853673340000004,,11,11,0,0,110,27,90,4,0,25,0,all_resolved,5112.968722909063,110,85,1657.5937445818126,5805.407392418188,12,17,0,0,12,8,8,0,[]
w6_persistent_bearing,27,4,random,4,1,11,11,11,10,1,6650.507479,604.591589,22992.537394446666,4598.5074788893335,335,1675.0,322,322.0,11,0,55.0,1,1.1066640581702814e-07,2.6303655829999997,,11,11,0,0,35,14,26,1,0,25,0,all_resolved,2328.315948869103,35,30,670.6631897738206,5979.844289226179,8,0,0,0,8,10,10,0,[]
w6_persistent_bearing,27,4,random,5,1,14,14,14,10,4,6819.533476,487.109534,23577.667380947183,4715.533476189436,341,1705.0,329,329.0,14,0,70.0,1,-1.8943683244287968e-07,8.941491374999998,,14,14,0,0,124,30,105,6,0,25,0,all_resolved,3677.8636254123007,124,117,1472.5727250824602,5346.960750917539,14,0,0,0,14,13,13,0,[]
w6_persistent_bearing,27,4,random,6,1,16,16,16,4,12,9045.773406,565.360837875,32033.86704036937,6406.773408073874,441,2205.0,354,354.0,16,0,80.0,7,-2.073873474728316e-06,1.5545799590000016,,16,16,0,0,199,47,165,4,0,20,0,all_resolved,20037.717043021377,199,115,5117.543408604275,3928.229997395725,26,62,0,1,26,9,9,0,[]
w6_persistent_bearing,27,4,random,7,1,12,12,12,5,7,8051.109461,670.9257884166667,27250.547302887797,5450.10946057756,432,2160.0,381,381.0,12,0,60.0,2,4.2244028009008616e-07,4.0788450419999975,,12,12,0,0,113,30,90,4,0,25,0,all_resolved,9268.335757968958,113,66,2484.6671515937915,5566.442309406209,22,34,0,1,22,10,10,0,[]
w6_persistent_bearing,27,4,random,8,1,11,11,11,10,1,6546.169351,595.1063046363636,21575.846750391163,4315.169350078233,365,1825.0,351,351.0,11,0,55.0,0,9.217665137839504e-07,2.927246541999999,,11,11,0,0,105,30,83,5,0,25,0,all_resolved,3705.620294888141,105,98,1364.1240589776282,5182.0452920223715,14,0,0,0,14,11,11,0,[]
w6_persistent_bearing,27,4,random,9,1,13,13,13,4,9,10224.577519,786.5059630000001,37632.88760799097,7526.577521598194,455,2275.0,358,358.0,13,0,65.0,4,-2.598193532321602e-06,1.9068955839999973,,13,13,0,0,194,54,153,7,0,25,0,all_resolved,22031.262745396027,194,100,5476.252549079205,4748.324969920795,33,69,0,1,33,9,9,0,[]
