strategy,suite,seed,channel,kind,first_found_time_s,clear_time_s,found_to_clear_s,supplement_measure_count,reacquisition_attempts,reacquisition_successes,reacquisition_no_signal,reacquisition_move_m,reacquisition_switch_count,reacquisition_time_s,mean_planned_step_m,max_planned_step_m,coarse_probe_count,intersection_probe_count,fallback_probe_count,cleared
w6_persistent_bearing,random,0,1,dir,432.0,946.916166,514.916166,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,0,2,omni,645.106668,6470.546291,5825.439622999999,19,17,5,12,4054.633570780821,13,908.9267141561643,200.38814101538173,500.0,5,0,0,1
w6_persistent_bearing,random,0,3,omni,1380.759911,6957.478353,5576.718442,16,14,3,11,2164.5116315045916,12,514.9023263009183,353.1198555125213,500.0,3,0,0,1
w6_persistent_bearing,random,0,4,dir,2655.344916,3182.183611,526.8386949999999,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,0,5,omni,29.0,1477.224874,1448.224874,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,0,6,dir,1770.74127,2199.256936,428.51566600000024,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,0,7,dir,5171.584181,5908.205594,736.6214129999998,27,26,5,21,1648.475124033513,0,459.69502480670263,136.0096153846154,500.0,25,0,1,1
w6_persistent_bearing,random,0,8,dir,3594.416209,4031.179061,436.76285199999984,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,0,9,dir,4556.975668,5043.762627,486.786959,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,0,10,dir,378.0,4458.147291,4080.147291,19,18,6,12,756.5200948342227,11,252.30401896684455,100.14346440262437,389.3461909942919,8,0,0,1
w6_persistent_bearing,random,0,12,omni,71.0,1582.937235,1511.937235,4,3,3,0,557.5489790522672,3,129.50979581045345,500.0,500.0,1,0,0,1
w6_persistent_bearing,random,0,13,dir,1806.74127,2472.893645,666.1523750000001,11,10,4,6,1088.1835491772863,1,268.6367098354573,167.32808096434752,500.0,10,0,0,1
w6_persistent_bearing,random,0,14,dir,2067.065666,3462.557479,1395.491813,8,7,6,1,1221.1103824566896,3,282.22207649133793,242.7866008752861,500.0,5,0,0,1
w6_persistent_bearing,random,0,16,omni,729.106668,6138.586845,5409.4801769999995,15,14,2,12,446.0068802386238,14,173.20137604772475,446.0068802386238,446.0068802386238,1,0,0,1
w6_persistent_bearing,random,0,18,omni,107.0,1682.124692,1575.124692,3,2,1,1,0.0,2,12.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,0,20,dir,119.0,1061.167439,942.1674390000001,4,2,1,1,577.5535701581366,1,126.51071403162732,393.4713073173544,393.4713073173544,1,0,0,1
w6_persistent_bearing,random,1,3,omni,1036.720975,2067.362408,1030.641433,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,1,4,omni,23.0,7599.75699,7576.75699,25,24,8,16,399.87914743780334,24,223.97582948756067,399.8791474378034,399.8791474378034,1,0,0,1
w6_persistent_bearing,random,1,7,dir,4940.634006,8068.535514,3127.901508,28,27,3,24,5257.277389959312,9,1195.4554779918624,148.4375,500.0,21,0,0,1
w6_persistent_bearing,random,1,8,omni,47.0,1269.812519,1222.812519,7,6,5,1,567.0946125106053,3,146.41892250212106,141.77365312765133,306.3298259601239,4,0,0,1
w6_persistent_bearing,random,1,9,omni,1072.720975,1761.640364,688.9193890000001,4,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,1,11,omni,65.0,909.599442,844.599442,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,1,13,omni,1090.720975,1714.198519,623.4775440000001,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,1,14,omni,83.0,579.989982,496.98998200000005,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,1,16,omni,95.0,4166.871335,4071.871335,15,13,5,8,485.2057064165862,13,175.04114128331724,485.20570641658617,485.20570641658617,1,0,0,1
w6_persistent_bearing,random,1,17,omni,2506.948594,3493.427054,986.4784600000003,5,3,3,0,666.5433902687122,2,150.30867805374243,408.4906759168806,500.0,2,0,0,1
w6_persistent_bearing,random,1,19,dir,2729.948594,3135.217857,405.26926300000014,4,2,2,0,434.5143536686452,0,96.90287073372903,232.84160772286162,327.1797928875891,2,0,0,1
w6_persistent_bearing,random,2,1,omni,2352.794719,2634.552062,281.7573430000002,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
