run,channel,first_ready_time_s,actual_clear_time_s,potential_saved_time_upper_bound_s,measure_actions_after_ready_before_clear,movement_m_after_ready_before_clear
25,1,5727.04272,5953.618003,226.57528299999922,0,807.8764163120302
25,2,7260.139414,7401.369647,141.23023300000023,1,656.1511623458453
25,5,788.641156,930.891087,142.24993099999995,0,556.2496532362659
25,7,2283.691206,2340.596071,56.90486499999997,0,259.52432294218187
25,10,6695.925649,6887.151548,191.22589900000003,2,421.1294926876708
25,13,4489.775071,4597.291418,107.51634699999977,0,512.5817353930664
25,14,,2760.934636,,0,0.0
25,15,3686.12881,3752.538715,66.40990499999998,0,307.0495234502683
25,16,5098.452011,5274.999189,176.5471779999998,0,857.7358913095359
25,17,1161.791677,1294.881865,133.09018800000013,0,610.4509396830584
25,18,,538.462131,,0,0.0
25,19,,858.390698,,0,0.0
25,20,7069.116201,7161.301415,92.18521400000009,0,435.9260692850392
26,1,960.545664,5962.772634,5002.22697,15,18271.134855755216
26,2,,1865.22051,,0,0.0
26,3,3389.480582,5734.165893,2344.685311,11,8618.426559039026
26,4,,2568.727381,,0,0.0
26,5,3144.843486,3250.612211,105.7687249999999,0,503.84362508355036
26,6,2434.105275,2442.146785,8.041510000000017,0,15.207549385270305
26,7,3885.121318,3892.287353,7.166035000000193,0,10.830177302457392
26,8,844.406269,851.257709,6.851440000000025,0,9.257202150642762
26,9,4560.990261,4660.886151,99.89588999999978,0,474.47944774434427
26,10,1992.736941,2236.991431,244.25449000000003,1,866.2724516883595
26,11,4303.779649,4444.212429,140.4327800000001,1,227.16389754318652
26,13,5225.792505,5298.976858,73.18435299999965,1,130.9217648023636
26,14,2016.736941,5812.501174,3795.764233,14,14053.821168001252
26,15,6164.524478,6173.452715,8.928237000000081,0,19.641185950129167
26,20,1068.545664,1139.435212,70.8895480000001,1,269.44774093764767
28,4,4765.520299,7185.014842,2419.494543,9,8017.472710705959
28,5,6234.455575,6291.715299,57.25972400000046,0,261.2986199320783
28,6,2490.123516,2566.028903,75.90538699999979,0,354.52693439774913
28,7,1843.69604,2061.881143,218.18510300000003,1,465.92551392347605
28,8,5140.679562,7023.845761,1883.1661989999993,9,6135.830988298943
28,11,,6212.066448,,0,0.0
28,13,5110.679562,5264.924595,154.24503300000015,1,416.22516390273597
28,17,,2698.728832,,0,0.0
28,18,4268.581431,4634.780057,366.19862600000033,0,1440.9931302571963
28,20,4837.520299,5001.805632,164.2853329999998,1,706.4266659810913
