channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,1742.223795,1,0,smooth,0,1159.423896,582.7998990000001,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
2,2141.948533,1,5,smooth,0,1165.423896,976.5246370000002,0,omni,434.98961521501144,165.51579847161412,5,1831.4784779062643,0,5,1,392.29569558125286,0,w5pro,random,6
3,2531.226143,1,0,smooth,0,2157.023249,374.202894,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
4,8459.777775,1,8,smooth,0,8045.662222,414.11555300000055,0,dir,500.0,328.125,8,992.6025364173008,6,2,0,238.52050728346018,0,w5pro,random,9
5,610.646794,1,0,smooth,0,29.0,581.646794,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
6,4086.388441,1,0,smooth,0,3539.486589,546.901852,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
7,6609.267649,1,20,smooth,0,6053.714132,555.5535170000003,0,dir,500.0,169.53125,20,1335.4171439993681,15,5,0,367.0834287998736,0,w5pro,random,21
8,4842.34493,1,0,smooth,0,4602.894783,239.45014700000047,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
9,5959.080602,1,3,smooth,0,5575.422152,383.6584499999999,0,dir,375.1431694784013,250.12544018429483,3,446.5654139683244,1,2,0,104.31308279366488,0,w5pro,random,5
10,5481.179636,1,7,smooth,0,5145.837818,335.3418179999999,0,dir,209.44075129354013,64.51580257928723,7,375.1710152511886,3,4,0,110.03420305023772,0,w5pro,random,9
12,505.677431,1,0,smooth,0,71.0,434.677431,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
13,3970.147772,1,5,smooth,0,3575.486589,394.6611829999997,0,dir,375.1610599449701,300.1288479559761,5,459.7257277548564,4,1,0,116.94514555097128,0,w5pro,random,7
14,4501.144324,1,1,smooth,0,4195.362614,305.7817100000002,0,dir,158.98086515492898,158.98086515492898,1,139.1843105670402,0,1,0,32.83686211340804,0,w5pro,random,3
16,1401.436337,1,0,smooth,0,1237.423896,164.01244100000008,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,1
18,385.623887,1,0,smooth,0,107.0,278.623887,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,0,w5pro,random,2
20,1111.678588,1,11,smooth,0,119.0,992.678588,0,dir,500.0,297.68727276899074,11,1715.9413952722512,7,4,0,398.1882790544502,0,w5pro,random,12
2,1696.71456,1,23,smooth,0,11.0,1685.71456,0,dir,500.0,164.74184782608697,23,2563.954435047302,18,5,2,629.7908870094604,10000,w5pro,min_reff,24
3,3200.665647,1,1,smooth,0,2172.927091,1027.7385559999998,0,dir,273.1198691901263,273.1198691901263,1,253.94045896921344,0,1,0,55.78809179384269,10000,w5pro,min_reff,3
5,2013.242833,1,22,smooth,0,29.0,1984.242833,0,dir,500.0,144.53125,22,1891.2670306955802,18,4,1,489.253406139116,10000,w5pro,min_reff,23
10,,0,23,smooth,1921,2208.927091,,0,dir,500.0,2.4884458284342545,1944,2508.312618366548,1942,2,1,10222.662523673309,10000,w5pro,min_reff,1946
17,431.845782,1,0,smooth,0,101.0,330.845782,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
1,4366.680194,1,1,smooth,0,3522.249961,844.4302329999996,0,dir,255.8426764406849,255.8426764406849,1,230.45512307968824,0,1,0,51.09102461593765,10001,w5pro,min_reff,3
2,3029.715803,1,0,smooth,0,2665.892865,363.82293800000025,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,2
3,611.250268,1,0,smooth,0,17.0,594.250268,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,1
4,957.189568,1,0,smooth,0,677.730241,279.45932700000003,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,1
5,1187.002994,1,0,smooth,0,683.730241,503.27275299999997,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,3
8,4753.472043,1,0,smooth,0,4514.965291,238.50675199999932,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,2
9,339.124,1,0,smooth,0,53.0,286.124,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,1
14,3870.913809,1,0,smooth,0,3570.249961,300.66384800000014,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,3
16,5563.176503,1,23,smooth,0,5134.756376,428.4201269999994,0,dir,390.45062195330695,116.44553195482456,23,1034.1257866891744,18,5,0,321.82515733783487,10001,w5pro,min_reff,24
17,3368.440759,1,0,smooth,0,2731.892865,636.5478940000003,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,2
18,2280.563012,1,12,smooth,0,1732.33995,548.223062,0,dir,500.0,270.8333333333333,12,1492.6705394505468,10,2,0,358.53410789010934,10001,w5pro,min_reff,13
20,3170.939691,1,0,smooth,0,2743.892865,427.04682600000024,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,2
