channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,2611.957322,1,0,smooth,0,2215.473261,396.4840610000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
2,4642.835456,1,0,smooth,0,4284.401952,358.43350399999963,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
3,1893.179463,1,0,smooth,0,17.0,1876.179463,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
4,4215.697055,1,7,smooth,0,3709.972514,505.7245409999996,0,dir,226.84167961533993,68.73735944168806,7,398.9365679914788,3,4,0,114.78731359829575,2,w5pro,random,10
5,2537.981507,1,0,smooth,0,2233.473261,304.5082459999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
6,4849.654474,1,0,smooth,0,4290.401952,559.2525219999998,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
10,458.878965,1,0,smooth,0,59.0,399.878965,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
11,2204.984772,1,17,smooth,2,65.0,2139.984772,0,dir,375.1676270648828,89.17282041756475,19,1865.786548314192,16,3,1,469.15730966283843,2,w5pro,random,21
12,5951.133854,1,26,smooth,0,5165.756692,785.3771619999998,0,dir,500.0,159.2742219364215,26,2491.7643166529338,15,11,0,628.3528633305867,2,w5pro,random,27
13,680.886159,1,8,smooth,0,77.0,603.886159,0,dir,366.08546066500026,94.21329471677761,8,718.9549317768325,3,5,0,183.7909863553665,2,w5pro,random,10
14,5013.717684,1,0,smooth,0,4320.401952,693.315732,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
15,1483.120919,1,0,smooth,0,89.0,1394.120919,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
16,3021.725963,1,0,smooth,0,2275.473261,746.2527019999998,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
17,4752.714433,1,0,smooth,0,4326.401952,426.31248099999993,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
19,3530.988803,1,22,smooth,0,2293.473261,1237.515542,0,dir,500.0,144.53125,22,1320.1307110327373,18,4,0,374.02614220654743,2,w5pro,random,23
20,2460.460373,1,0,smooth,0,2299.473261,160.9871119999998,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
1,9702.215517,1,19,smooth,0,9271.573656,430.64186100000006,0,dir,416.4747811918986,143.16320603471516,19,989.5819357562335,15,4,0,292.9163871512467,10000,w5pro,min_reff,20
2,357.188153,1,0,smooth,0,11.0,346.188153,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
3,2339.058555,1,1,smooth,0,1311.319999,1027.738556,0,dir,273.1198691901263,273.1198691901263,1,253.94045896921344,0,1,0,55.78809179384269,10000,w5pro,min_reff,3
4,5920.090709,1,0,smooth,0,5637.096053,282.99465599999985,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
5,1149.820407,1,24,smooth,2,29.0,1120.820407,0,dir,500.0,123.28125,26,1053.2915547462283,22,4,0,340.6583109492457,10000,w5pro,min_reff,27
6,5514.377372,1,0,smooth,0,5238.394574,275.982798,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
7,2994.843984,1,0,smooth,0,2774.281643,220.5623410000003,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
9,3219.544733,1,0,smooth,0,2786.281643,433.2630900000004,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,2
10,2598.346729,1,18,smooth,0,1347.319999,1251.0267299999998,0,dir,500.0,203.99305555555554,18,2786.7365324830994,15,3,1,648.3473064966199,10000,w5pro,min_reff,20
13,8849.017654,1,7,smooth,0,8369.367285,479.65036899999905,0,dir,500.0,376.9915349882114,7,1183.2983834289582,5,2,0,271.6596766857916,10000,w5pro,min_reff,8
14,6599.578209,1,20,smooth,0,5667.096053,932.482156,0,dir,500.0,187.5,20,1657.414787521491,16,4,0,431.4829575042982,10000,w5pro,min_reff,21
16,4347.93313,1,0,smooth,0,4100.671049,247.26208100000076,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
17,553.248701,1,0,smooth,0,101.0,452.248701,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,2
19,4661.745129,1,0,smooth,0,4112.671049,549.0740800000003,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,2
1,7304.451517,1,0,smooth,0,6960.694456,343.75706100000025,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,1
2,2000.044597,1,0,smooth,0,1112.767484,887.2771130000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,2
3,403.872434,1,0,smooth,0,17.0,386.872434,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,1
4,5128.475879,1,0,smooth,0,4889.361376,239.1145029999998,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,2
5,3782.24341,1,0,smooth,0,3544.147503,238.0959069999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,1
8,7579.812324,1,7,smooth,0,6978.694456,601.1178680000003,0,dir,20.91711271825492,14.193755058815839,7,17.51491492681579,6,1,0,38.50298298536316,10001,w5pro,min_reff,10
9,996.22369,1,18,smooth,0,53.0,943.22369,0,dir,500.0,191.84027777777777,18,1603.1074280390135,15,3,0,410.6214856078027,10001,w5pro,min_reff,19
14,8629.326532,1,22,smooth,0,8067.352932,561.9735999999994,0,dir,500.0,152.34375,22,1316.3558775169286,18,4,0,373.27117550338573,10001,w5pro,min_reff,23
16,6350.820122,1,0,smooth,0,6198.447198,152.37292400000024,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,1
17,1703.687705,1,0,smooth,0,1190.767484,512.9202210000001,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,2
18,3157.587698,1,7,smooth,0,2803.944245,353.6434529999997,0,dir,202.85305744131227,61.63008478694751,7,352.08726459589565,3,4,0,105.41745291917913,10001,w5pro,min_reff,9
20,1506.698988,1,0,smooth,0,1208.767484,297.93150400000013,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,2
