channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,5351.329898,1,0,smooth,0,5085.222591,266.1073070000002,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
2,3217.449591,1,0,smooth,0,2865.326925,352.1226660000002,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
3,1559.89289,1,0,smooth,0,17.0,1542.89289,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
4,2789.838539,1,0,smooth,0,2066.964286,722.874253,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
5,4992.804628,1,0,smooth,0,4709.180852,283.62377599999945,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
6,3468.444885,1,3,smooth,0,2877.326925,591.11796,0,dir,165.10651559025706,94.99066298326625,3,260.0912372691642,0,3,0,67.01824745383284,2,w5pro,random,6
10,928.338871,1,0,smooth,0,59.0,869.338871,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
11,1265.671919,1,2,smooth,0,65.0,1200.671919,0,dir,277.7300113795378,207.53913490819804,2,392.9422252513364,0,2,0,88.58844505026728,2,w5pro,random,4
12,4138.109366,1,0,smooth,0,3797.853789,340.2555769999999,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
13,1949.274107,1,13,smooth,1,77.0,1872.274107,0,dir,248.9146810575896,42.8893479461576,14,2231.9320276053377,9,5,2,518.3864055210676,2,w5pro,random,17
14,3633.830959,1,0,smooth,0,2907.326925,726.504034,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
15,474.477318,1,0,smooth,0,89.0,385.477318,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
16,2347.980718,1,0,smooth,0,2114.964286,233.0164319999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
17,3299.978013,1,0,smooth,0,2913.326925,386.6510880000001,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
19,6064.579532,1,18,smooth,0,5115.222591,949.356941,0,dir,434.61243861019346,100.6845301032611,18,1502.490702240486,3,15,0,390.49814044809716,2,w5pro,random,21
20,5285.103884,1,0,smooth,0,5121.222591,163.88129300000037,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
1,10330.376281,1,19,smooth,0,9901.297824,429.07845700000144,0,dir,416.4747811918986,143.16320603471516,19,975.1009210480435,15,4,0,290.0201842096087,10000,w5pro,min_reff,20
2,1696.71456,1,23,smooth,0,11.0,1685.71456,0,dir,500.0,164.74184782608697,23,2563.954435047302,18,5,2,629.7908870094604,10000,w5pro,min_reff,24
3,3118.795069,1,1,smooth,0,2091.056513,1027.7385559999998,0,dir,273.1198691901263,273.1198691901263,1,253.94045896921344,0,1,0,55.78809179384269,10000,w5pro,min_reff,3
4,6536.700887,1,0,smooth,0,6253.706231,282.99465599999985,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
5,1929.556921,1,24,smooth,2,29.0,1900.556921,0,dir,500.0,123.28125,26,2300.318078669139,22,4,1,591.0636157338279,10000,w5pro,min_reff,27
6,6131.574415,1,0,smooth,0,5848.85963,282.7147850000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
7,3773.496773,1,0,smooth,0,3554.018157,219.47861599999987,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
9,3901.82824,1,0,smooth,0,3566.018157,335.81008299999985,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
10,3378.083243,1,18,smooth,0,2127.056513,1251.02673,0,dir,500.0,203.99305555555554,18,2786.7365324830994,15,3,1,648.3473064966199,10000,w5pro,min_reff,20
13,9478.741822,1,7,smooth,0,9008.515139,470.2266830000008,0,dir,500.0,376.9915349882114,7,1220.9304816812237,5,2,0,279.18609633624476,10000,w5pro,min_reff,8
14,7238.726063,1,20,smooth,0,6283.706231,955.019832,0,dir,500.0,187.5,20,1706.1336876145308,16,4,0,441.22673752290615,10000,w5pro,min_reff,21
16,4958.382955,1,0,smooth,0,4782.713549,175.66940599999998,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
17,431.845782,1,0,smooth,0,101.0,330.845782,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
19,5272.210185,1,0,smooth,0,4794.713549,477.49663599999985,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,2
