channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,5216.210066,1,0,smooth,0,4920.594275,295.61579099999926,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
2,3086.196883,1,0,smooth,0,2603.997964,482.19891899999993,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
3,1319.365408,1,0,smooth,0,17.0,1302.365408,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
4,2528.79533,1,0,smooth,0,1817.777338,711.0179919999998,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
5,4827.858451,1,0,smooth,0,4487.641153,340.2172980000005,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,4
6,3193.256093,1,0,smooth,0,2615.997964,577.2581289999998,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,4
10,1750.045046,1,5,smooth,0,59.0,1691.045046,0,omni,495.53899735799973,191.57566786635755,5,1983.2842445825154,0,5,1,422.65684891650307,2,w5pro,random,7
11,969.135512,1,0,smooth,0,65.0,904.135512,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,4
12,3915.963762,1,0,smooth,0,3522.360068,393.6036939999999,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
13,576.60307,1,1,smooth,0,77.0,499.60307,0,dir,269.13590886131766,269.13590886131766,1,130.83357155597724,0,1,1,32.16671431119545,2,w5pro,random,4
14,3358.337238,1,0,smooth,0,2645.997964,712.3392739999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
15,489.951577,1,0,smooth,0,89.0,400.951577,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
16,2080.991078,1,0,smooth,0,1865.777338,215.21373999999992,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
17,3014.578795,1,0,smooth,0,2651.997964,362.58083099999976,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
19,,0,21,smooth,1927,4950.594275,,0,dir,434.61243861019346,1.8931100431609333,1948,0.0,1948,0,0,9740.0,2,w5pro,random,1951
20,5191.519241,1,0,smooth,0,4956.594275,234.92496599999959,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
2,455.95786,1,0,smooth,0,11.0,444.95786,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,2
5,,0,21,smooth,1973,29.0,,0,dir,500.0,2.0561879089649904,1994,65.26309611002578,1994,0,0,9983.052619222006,10000,w5pro,min_reff,1995
17,350.027519,1,0,smooth,0,101.0,249.02751899999998,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,2
2,2087.899045,1,0,smooth,0,1034.150676,1053.7483690000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,3
3,553.167299,1,0,smooth,0,17.0,536.167299,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,1
4,5179.503986,1,0,smooth,0,4931.808233,247.69575299999997,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,2
5,3824.690267,1,0,smooth,0,3586.59436,238.0959069999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,1
9,917.6184,1,21,smooth,0,53.0,864.6184,0,dir,500.0,164.4345238095238,21,1417.2555109852483,15,6,1,389.45110219704964,10001,w5pro,min_reff,23
16,,0,21,smooth,1920,6248.848447,,0,dir,390.45062195330695,1.7626880727933905,1941,0.0,1941,0,0,9705.0,10001,w5pro,min_reff,1943
17,1704.306535,1,0,smooth,0,1112.150676,592.155859,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,3
18,3200.761682,1,0,smooth,0,2891.658835,309.10284699999966,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,4
20,1442.78396,1,0,smooth,0,1130.150676,312.633284,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,4
