channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,5253.986112,1,0,smooth,0,4914.665687,339.3204249999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
2,3169.165677,1,0,smooth,0,2716.236849,452.92882800000007,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
3,1410.519281,1,0,smooth,0,17.0,1393.519281,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
4,2640.748463,1,0,smooth,0,1917.87421,722.874253,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
5,4822.247724,1,0,smooth,0,4538.623948,283.62377599999945,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
6,3297.887981,1,3,smooth,0,2728.236849,569.651132,0,dir,165.10651559025706,94.99066298326625,3,260.0912372691642,0,3,0,67.01824745383284,2,w5pro,random,6
10,771.772135,1,0,smooth,0,59.0,712.772135,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
11,1116.29831,1,2,smooth,0,65.0,1051.29831,0,dir,277.7300113795378,207.53913490819804,2,392.9422252513364,0,2,0,88.58844505026728,2,w5pro,random,4
12,3967.552462,1,0,smooth,0,3627.296885,340.2555769999999,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
13,1800.027633,1,13,smooth,1,77.0,1723.027633,0,dir,281.82991449745765,47.85607587885681,14,2282.9713573117087,9,5,2,528.5942714623418,2,w5pro,random,17
14,3463.274055,1,0,smooth,0,2758.236849,705.037206,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
15,476.211865,1,0,smooth,0,89.0,387.211865,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
16,2198.890642,1,0,smooth,0,1965.87421,233.0164319999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
17,3097.571292,1,0,smooth,0,2764.236849,333.3344430000002,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
19,5621.439659,1,11,smooth,0,4944.665687,676.773972,0,dir,352.06883198652866,68.76333523915338,11,656.6327556452156,6,5,0,186.32655112904314,2,w5pro,random,14
20,5114.54698,1,0,smooth,0,4950.665687,163.88129300000037,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
2,1696.71456,1,23,smooth,0,11.0,1685.71456,0,dir,500.0,164.74184782608697,23,2563.954435047302,18,5,2,629.7908870094604,10000,w5pro,min_reff,24
3,3200.665647,1,1,smooth,0,2172.927091,1027.7385559999998,0,dir,273.1198691901263,273.1198691901263,1,253.94045896921344,0,1,0,55.78809179384269,10000,w5pro,min_reff,3
5,2013.242833,1,22,smooth,0,29.0,1984.242833,0,dir,500.0,144.53125,22,1891.2670306955802,18,4,1,489.253406139116,10000,w5pro,min_reff,23
10,,0,23,smooth,1921,2208.927091,,0,dir,500.0,2.4884458284342545,1944,2508.312618366548,1942,2,1,10222.662523673309,10000,w5pro,min_reff,1946
17,431.845782,1,0,smooth,0,101.0,330.845782,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
1,4366.680194,1,1,smooth,0,3522.249961,844.4302329999996,0,dir,255.8426764406849,255.8426764406849,1,230.45512307968824,0,1,0,51.09102461593765,10001,w5pro,min_reff,3
2,3029.715803,1,0,smooth,0,2665.892865,363.82293800000025,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,2
3,611.250268,1,0,smooth,0,17.0,594.250268,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,1
4,957.189568,1,0,smooth,0,677.730241,279.45932700000003,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,1
5,1187.002994,1,0,smooth,0,683.730241,503.27275299999997,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,3
8,4753.472043,1,0,smooth,0,4514.965291,238.50675199999932,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,2
9,339.124,1,0,smooth,0,53.0,286.124,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,1
14,3870.913809,1,0,smooth,0,3570.249961,300.66384800000014,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,3
16,5563.176503,1,23,smooth,0,5134.756376,428.4201269999994,0,dir,390.45062195330695,116.44553195482456,23,1034.1257866891744,18,5,0,321.82515733783487,10001,w5pro,min_reff,24
17,3368.440759,1,0,smooth,0,2731.892865,636.5478940000003,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,2
18,2280.563012,1,12,smooth,0,1732.33995,548.223062,0,dir,500.0,270.8333333333333,12,1492.6705394505468,10,2,0,358.53410789010934,10001,w5pro,min_reff,13
20,3170.939691,1,0,smooth,0,2743.892865,427.04682600000024,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,2
