channel,clear_time_s,cleared,coarse_probe_count,error_field,fallback_probe_count,first_found_time_s,found_to_clear_s,intersection_probe_count,kind,max_planned_step_m,mean_planned_step_m,reacquisition_attempts,reacquisition_move_m,reacquisition_no_signal,reacquisition_successes,reacquisition_switch_count,reacquisition_time_s,seed,strategy,suite,supplement_measure_count
1,5392.042515,1,0,smooth,0,5052.72209,339.3204249999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
2,3307.22208,1,0,smooth,0,2854.293252,452.92882800000007,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
3,1548.859217,1,0,smooth,0,17.0,1531.859217,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
4,2778.804866,1,0,smooth,0,2055.930613,722.874253,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
5,4960.304127,1,0,smooth,0,4676.680351,283.62377600000036,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
6,3435.944384,1,3,smooth,0,2866.293252,569.651132,0,dir,165.10651559025706,94.99066298326625,3,260.0912372691642,0,3,0,67.01824745383284,2,w5pro,random,6
10,917.26122,1,0,smooth,0,59.0,858.26122,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
11,1254.638246,1,2,smooth,0,65.0,1189.638246,0,dir,277.7300113795378,207.53913490819804,2,392.9422252513364,0,2,0,88.58844505026728,2,w5pro,random,4
12,4105.608865,1,0,smooth,0,3765.353288,340.25557700000036,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
13,1938.240434,1,13,smooth,1,77.0,1861.240434,0,dir,248.9146810575896,42.8893479461576,14,2231.9320276053377,9,5,2,518.3864055210676,2,w5pro,random,16
14,3601.330458,1,0,smooth,0,2896.293252,705.037206,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,2
15,463.208627,1,0,smooth,0,89.0,374.208627,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,3
16,2336.947045,1,0,smooth,0,2103.930613,233.0164319999999,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
17,3235.627695,1,0,smooth,0,2902.293252,333.3344430000002,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
19,5759.496062,1,11,smooth,0,5082.72209,676.773972,0,dir,352.06883198652866,68.76333523915338,11,656.6327556452156,6,5,0,186.32655112904314,2,w5pro,random,14
20,5252.603383,1,0,smooth,0,5088.72209,163.88129299999946,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,2,w5pro,random,1
1,10336.760153,1,19,smooth,0,9907.681696,429.0784569999996,0,dir,416.4747811918986,143.16320603471516,19,975.1009210480435,15,4,0,290.0201842096087,10000,w5pro,min_reff,20
2,1696.71456,1,23,smooth,0,11.0,1685.71456,0,dir,500.0,164.74184782608697,23,2563.954435047302,18,5,2,629.7908870094604,10000,w5pro,min_reff,24
3,3118.795069,1,1,smooth,0,2091.056513,1027.7385559999998,0,dir,273.1198691901263,273.1198691901263,1,253.94045896921344,0,1,0,55.78809179384269,10000,w5pro,min_reff,3
4,6543.084759,1,0,smooth,0,6260.090103,282.99465599999985,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
5,1929.556921,1,24,smooth,2,29.0,1900.556921,0,dir,500.0,123.28125,26,2300.318078669139,22,4,1,591.0636157338279,10000,w5pro,min_reff,27
6,6137.958287,1,0,smooth,0,5855.243502,282.7147850000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
7,3773.496773,1,0,smooth,0,3554.018157,219.47861599999987,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
9,3908.779507,1,0,smooth,0,3566.018157,342.7613500000002,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
10,3378.083243,1,18,smooth,0,2127.056513,1251.02673,0,dir,500.0,203.99305555555554,18,2786.7365324830994,15,3,1,648.3473064966199,10000,w5pro,min_reff,20
13,9485.125694,1,7,smooth,0,9014.899011,470.2266830000008,0,dir,500.0,376.9915349882114,7,1220.9304816812237,5,2,0,279.18609633624476,10000,w5pro,min_reff,8
14,7245.109935,1,20,smooth,0,6290.090103,955.019832,0,dir,500.0,187.5,20,1706.1336876145308,16,4,0,441.22673752290615,10000,w5pro,min_reff,21
16,4964.766827,1,0,smooth,0,4789.097421,175.66940599999998,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
17,431.845782,1,0,smooth,0,101.0,330.845782,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,1
19,5278.594057,1,0,smooth,0,4801.097421,477.49663599999985,0,dir,0.0,0.0,0,0.0,0,0,0,0.0,10000,w5pro,min_reff,2
1,3024.197125,1,1,smooth,0,2161.766892,862.430233,0,dir,255.8426764406849,255.8426764406849,1,230.45512307968824,0,1,0,51.09102461593765,10001,w5pro,min_reff,3
2,1691.359292,1,0,smooth,0,1112.767484,578.5918080000001,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,2
3,403.872434,1,0,smooth,0,17.0,386.872434,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,1
4,5393.134206,1,0,smooth,0,5143.674879,249.45932699999958,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,1
5,5622.947632,1,0,smooth,0,5149.674879,473.2727530000002,0,omni,0.0,0.0,0,0.0,0,0,0,0.0,10001,w5pro,min_reff,3
